# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 26K of event 'LLC-load-misses'
# Event count (approx.): 5149628
#
# Overhead  Command          Shared Object       Symbol                                                                                                                         
# ........  ...............  ..................  ...............................................................................................................................
#
    19.23%  java             perf-13420.map      [.] void pim.algorithm.CPUTreeNode.insertNewCPUNode(int, int)
     8.50%  java             perf-13420.map      [.] java.util.HashMap$Node[] java.util.HashMap.resize()
     5.84%  java             libdpuhw.so.2023.1  [.] xeon_sp_read_from_cis
     4.32%  G1 Refine#0      libjvm.so           [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     3.63%  java             libjvm.so           [.] aci_CopyRight
     3.33%  java             perf-13420.map      [.] java.util.ArrayList pim.algorithm.BSTBuilder$BaseKeyValuePairGenerator.genPairs(int)
     2.04%  java             perf-13420.map      [.] pim.algorithm.TreeNode pim.algorithm.BSTBuilder.buildCPUTree(java.util.ArrayList)
     2.01%  java             perf-13420.map      [.] java.util.HashMap$Node[] java.util.HashMap.resize()
     2.00%  G1 Refine#0      libjvm.so           [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     1.62%  G1 Refine#0      libjvm.so           [.] G1RemSet::refine_card_concurrently
     1.41%  G1 Refine#0      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     1.26%  G1 Refine#3      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     1.26%  G1 Refine#2      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     1.11%  G1 Refine#1      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.95%  G1 Refine#4      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.92%  G1 Refine#5      libjvm.so           [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.86%  G1 Refine#1      libjvm.so           [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.84%  G1 Refine#2      libjvm.so           [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.76%  G1 Refine#3      libjvm.so           [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.69%  G1 Refine#9      libjvm.so           [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.67%  G1 Refine#5      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.65%  G1 Refine#4      libjvm.so           [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.65%  G1 Refine#2      libjvm.so           [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.63%  G1 Refine#3      libjvm.so           [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.61%  G1 Refine#3      libjvm.so           [.] OtherRegionsTable::add_reference
     0.60%  G1 Refine#0      libjvm.so           [.] OtherRegionsTable::add_reference
     0.58%  G1 Refine#10     libjvm.so           [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
