# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 56K of event 'cache-references'
# Event count (approx.): 25757743
#
# Overhead  Command          Shared Object         Symbol                                                                                                                                                    
# ........  ...............  ....................  ..........................................................................................................................................................
#
    20.42%  java             perf-4009.map         [.] void pim.algorithm.CPUTreeNode.insertNewCPUNode(int, int)
     3.69%  java             perf-4009.map         [.] java.util.ArrayList pim.algorithm.BSTBuilder$BaseKeyValuePairGenerator.genPairs(int)
     2.62%  G1 Refine#0      libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     2.53%  java             perf-4009.map         [.] pim.algorithm.TreeNode pim.algorithm.BSTBuilder.buildCPUTree(java.util.ArrayList)
     2.44%  java             libdpuhw.so.2023.1    [.] xeon_sp_read_from_cis
     1.63%  java             perf-4009.map         [.] java.util.HashMap$Node[] java.util.HashMap.resize()
     1.21%  G1 Refine#0      libjvm.so             [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     1.09%  G1 Refine#0      libjvm.so             [.] G1RemSet::refine_card_concurrently
     1.08%  G1 Refine#0      libjvm.so             [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.95%  G1 Refine#2      libjvm.so             [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.91%  G1 Refine#1      libjvm.so             [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.91%  G1 Refine#1      libjvm.so             [.] OtherRegionsTable::add_reference
     0.90%  G1 Refine#0      libjvm.so             [.] OtherRegionsTable::add_reference
     0.86%  G1 Refine#2      libjvm.so             [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.80%  G1 Refine#1      libjvm.so             [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.78%  GC Thread#18     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.78%  java             perf-4009.map         [.] java.util.ArrayList pim.algorithm.BSTBuilder$BaseKeyValuePairGenerator.genPairs(int)
     0.77%  G1 Refine#2      libjvm.so             [.] OtherRegionsTable::add_reference
     0.75%  GC Thread#17     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.74%  G1 Refine#5      libjvm.so             [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.74%  G1 Refine#3      libjvm.so             [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.73%  GC Thread#21     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.72%  java             perf-4009.map         [.] java.util.HashMap$Node[] java.util.HashMap.resize()
     0.68%  GC Thread#5      libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.68%  java             perf-4009.map         [.] java.util.HashMap$Node java.util.HashMap.getNode(java.lang.Object)
     0.68%  GC Thread#9      libjvm.so             [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.67%  G1 Refine#3      libjvm.so             [.] OtherRegionsTable::add_reference
     0.67%  G1 Refine#5      libjvm.so             [.] OtherRegionsTable::add_reference
     0.66%  G1 Refine#4      libjvm.so             [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.63%  GC Thread#22     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.63%  VM Thread        [kernel.kallsyms]     [k] perf_iterate_ctx
     0.63%  GC Thread#2      libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
