# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 32K of event 'LLC-load-misses'
# Event count (approx.): 6563415
#
# Overhead  Command          Shared Object         Symbol                                                                                                                                                                       
# ........  ...............  ....................  .............................................................................................................................................................................
#
    15.97%  java             perf-15143.map        [.] void pim.algorithm.CPUTreeNode.insertNewCPUNode(int, int)
     4.96%  java             libdpuhw.so.2023.1    [.] xeon_sp_read_from_cis
     4.81%  java             perf-15143.map        [.] java.util.HashMap$Node[] java.util.HashMap.resize()
     3.38%  java             libjvm.so             [.] AccessInternal::PostRuntimeDispatch<G1BarrierSet::AccessBarrier<26501222ul, G1BarrierSet>, (AccessInternal::BarrierType)8, 26501222ul>::oop_access_barrier<HeapWordImpl*>
     3.19%  java             perf-15143.map        [.] java.util.ArrayList pim.algorithm.BSTTester.readArrayList()
     2.44%  java             [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     2.25%  java             perf-15143.map        [.] java.util.ArrayList pim.algorithm.BSTBuilder$BaseKeyValuePairGenerator.genPairs(int)
     1.73%  G1 Refine#0      libjvm.so             [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     1.68%  java             perf-15143.map        [.] pim.algorithm.TreeNode pim.algorithm.BSTBuilder.buildCPUTree(java.util.ArrayList)
     1.68%  G1 Refine#1      libjvm.so             [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     1.60%  java             perf-15143.map        [.] java.util.HashMap$Node[] java.util.HashMap.resize()
     1.58%  G1 Refine#2      libjvm.so             [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     1.44%  G1 Refine#0      libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     1.41%  java             perf-15143.map        [.] StubRoutines (2)
     1.34%  G1 Refine#3      libjvm.so             [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     1.15%  GC Thread#19     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     1.04%  G1 Refine#1      libjvm.so             [.] OtherRegionsTable::add_reference
     1.04%  G1 Refine#4      libjvm.so             [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.96%  java             libjvm.so             [.] aci_CopyRight
     0.92%  G1 Refine#2      libjvm.so             [.] OtherRegionsTable::add_reference
     0.83%  G1 Refine#1      libjvm.so             [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.83%  G1 Refine#0      libjvm.so             [.] OtherRegionsTable::add_reference
     0.80%  G1 Refine#5      libjvm.so             [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.79%  GC Thread#7      libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.78%  GC Thread#8      libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.74%  G1 Refine#7      libjvm.so             [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.70%  GC Thread#17     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.69%  GC Thread#13     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.68%  GC Thread#14     libjvm.so             [.] G1ParScanThreadState::trim_queue_to_threshold
     0.63%  java             perf-15143.map        [.] java.util.ArrayList pim.algorithm.BSTBuilder$BaseKeyValuePairGenerator.genPairs(int)
