 C2 CompilerThre 15972  3190.816354:       6719                                                              mem-stores:      7faf1246a28e IfNode::search_identical+0x3e (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
            java 15942  3194.737231:     100003                                 offcore_requests.l3_miss_demand_data_rd:      7faef5f92fee int pim.algorithm.TreeNode.search(int)+0x1ee (/tmp/perf-15941.map)
            java 15942  3194.747482:     100003                          offcore_response.all_data_rd.l3_miss.any_snoop:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.760652:        291                                                         LLC-load-misses:      7faefd37e71c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15941.map)
            java 15942  3194.760704:        291                                                         LLC-load-misses:      7faefd37e752 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-15941.map)
            java 15942  3194.760758:        290                                                         LLC-load-misses:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.760806:        289                                                         LLC-load-misses:      7faefd37e77b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15941.map)
            java 15942  3194.760855:        292                                                         LLC-load-misses:      7faefd37e793 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-15941.map)
            java 15942  3194.760905:        293                                                         LLC-load-misses:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.760952:        294                                                         LLC-load-misses:      7faefd37e70e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15941.map)
            java 15942  3194.761002:        297                                                         LLC-load-misses:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.761052:        298                                                         LLC-load-misses:      7faefd37e7bc int pim.algorithm.TreeNode.search(int)+0xfc (/tmp/perf-15941.map)
            java 15942  3194.761099:        299                                                         LLC-load-misses:      7faefd37e70e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15941.map)
            java 15942  3194.761153:        302                                                         LLC-load-misses:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.761205:        301                                                         LLC-load-misses:      7faefd37e77b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15941.map)
            java 15942  3194.761252:        301                                                         LLC-load-misses:      7faefd37e7c0 int pim.algorithm.TreeNode.search(int)+0x100 (/tmp/perf-15941.map)
            java 15942  3194.761304:        304                                                         LLC-load-misses:      7faefd37e6f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15941.map)
            java 15942  3194.761354:        304                                                         LLC-load-misses:      7faefd37e7c0 int pim.algorithm.TreeNode.search(int)+0x100 (/tmp/perf-15941.map)
