    GC Thread#15  3952 16869.283485:        183                                                               LLC-loads:  ffffffff811ec184 __anon_vma_interval_tree_subtree_search.part.7+0x14 ([kernel.kallsyms])
    GC Thread#11  3947 16887.317897:         20                                                         LLC-load-misses:  ffffffff811ec19a __anon_vma_interval_tree_subtree_search.part.7+0x2a ([kernel.kallsyms])
     GC Thread#2  3938 16887.319112:         13                                                         LLC-load-misses:  ffffffff811ec18e __anon_vma_interval_tree_subtree_search.part.7+0x1e ([kernel.kallsyms])
            java  3905 17107.422010:     100003                          offcore_response.all_data_rd.l3_miss.any_snoop:      7f0e31fb0ba1 int pim.algorithm.TreeNode.search(int)+0x3a1 (/tmp/perf-3904.map)
            java  3905 17107.437266:        359                                                         LLC-load-misses:      7f0e3938d56d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-3904.map)
            java  3905 17107.437318:        359                                                         LLC-load-misses:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.437372:        359                                                         LLC-load-misses:      7f0e3938d5ab int pim.algorithm.TreeNode.search(int)+0xeb (/tmp/perf-3904.map)
            java  3905 17107.437432:        358                                                         LLC-load-misses:      7f0e3938d50e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-3904.map)
            java  3905 17107.437486:        353                                                         LLC-load-misses:      7f0e3938d569 int pim.algorithm.TreeNode.search(int)+0xa9 (/tmp/perf-3904.map)
            java  3905 17107.437538:        352                                                         LLC-load-misses:      7f0e3938d5bc int pim.algorithm.TreeNode.search(int)+0xfc (/tmp/perf-3904.map)
            java  3905 17107.437589:        352                                                         LLC-load-misses:      7f0e3938d4e0 int pim.algorithm.TreeNode.search(int)+0x20 (/tmp/perf-3904.map)
            java  3905 17107.437643:        352                                                         LLC-load-misses:      7f0e3938d533 int pim.algorithm.TreeNode.search(int)+0x73 (/tmp/perf-3904.map)
            java  3905 17107.437696:        352                                                         LLC-load-misses:      7f0e3938d5d2 int pim.algorithm.TreeNode.search(int)+0x112 (/tmp/perf-3904.map)
            java  3905 17107.437750:        352                                                         LLC-load-misses:      7f0e3938d56d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-3904.map)
            java  3905 17107.437804:        351                                                         LLC-load-misses:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
