 C2 CompilerThre 15501  3162.837627:        562                                                               LLC-loads:      7f1fdc9827ca CodeHeap::search_freelist+0x7a (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
 C2 CompilerThre 15536  3163.661624:       6502                                                              mem-stores:      7f1fdc9bc2a0 IfNode::search_identical+0x50 (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
            java 15471  3166.679043:     100003                                            offcore_requests.all_data_rd:      7f1fbdf8fe32 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-15470.map)
            java 15471  3166.684176:     100003                                 offcore_requests.l3_miss_demand_data_rd:      7f1fc537c8e7 int pim.algorithm.TreeNode.search(int)+0x27 (/tmp/perf-15470.map)
            java 15471  3166.691170:     100003                          offcore_response.all_data_rd.l3_miss.any_snoop:      7f1fc537c91c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15470.map)
            java 15471  3166.703475:        304                                                         LLC-load-misses:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.703527:        304                                                         LLC-load-misses:      7f1fc537c9ab int pim.algorithm.TreeNode.search(int)+0xeb (/tmp/perf-15470.map)
            java 15471  3166.703577:        304                                                         LLC-load-misses:      7f1fc537c993 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-15470.map)
            java 15471  3166.703625:        305                                                         LLC-load-misses:      7f1fc537c993 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-15470.map)
            java 15471  3166.703680:        307                                                         LLC-load-misses:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.703733:        305                                                         LLC-load-misses:      7f1fc537c90e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15470.map)
            java 15471  3166.703783:        305                                                         LLC-load-misses:      7f1fc537c8f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-15470.map)
            java 15471  3166.703837:        306                                                         LLC-load-misses:      7f1fc537c90e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15470.map)
            java 15471  3166.703938:        306                                                         LLC-load-misses:      7f1fc537c9ab int pim.algorithm.TreeNode.search(int)+0xeb (/tmp/perf-15470.map)
            java 15471  3166.703989:        306                                                         LLC-load-misses:      7f1fc537c90a int pim.algorithm.TreeNode.search(int)+0x4a (/tmp/perf-15470.map)
            java 15471  3166.704043:        306                                                         LLC-load-misses:      7f1fc537c9c0 int pim.algorithm.TreeNode.search(int)+0x100 (/tmp/perf-15470.map)
            java 15471  3166.704097:        305                                                         LLC-load-misses:      7f1fc537c90e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-15470.map)
            java 15471  3166.704145:        304                                                         LLC-load-misses:      7f1fc537c952 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-15470.map)
            java 15471  3166.704196:        306                                                         LLC-load-misses:      7f1fc537c9c1 int pim.algorithm.TreeNode.search(int)+0x101 (/tmp/perf-15470.map)
            java 15471  3166.704243:        306                                                         LLC-load-misses:      7f1fc537c98e int pim.algorithm.TreeNode.search(int)+0xce (/tmp/perf-15470.map)
            java 15471  3166.704296:        310                                                         LLC-load-misses:      7f1fc537c91c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-15470.map)
            java 15471  3166.704345:        310                                                         LLC-load-misses:      7f1fc537c97b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-15470.map)
