 C2 CompilerThre  2112 16344.554391:        160                                                               LLC-loads:      7f8f1ccaaae9 Klass::search_secondary_supers+0x29 (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
            java  2047 16585.916324:       1709                                                         LLC-load-misses:      7f8f0538d3f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-2046.map)
            java  2047 16585.916549:       1709                                                         LLC-load-misses:      7f8f0538d44d int pim.algorithm.TreeNode.search(int)+0x8d (/tmp/perf-2046.map)
            java  2047 16585.916761:       1545                                                         LLC-load-misses:      7f8f0538d41c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-2046.map)
            java  2047 16585.916956:       1400                                                         LLC-load-misses:      7f8f0538d46d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-2046.map)
            java  2047 16585.917128:       1272                                                         LLC-load-misses:      7f8f0538d47b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-2046.map)
            java  2047 16585.917287:       1162                                                         LLC-load-misses:      7f8f0538d3f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-2046.map)
            java  2047 16585.917437:       1065                                                         LLC-load-misses:      7f8f0538d452 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-2046.map)
            java  2047 16585.917575:        979                                                         LLC-load-misses:      7f8f0538d47b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-2046.map)
            java  2047 16585.917704:        903                                                         LLC-load-misses:      7f8f0538d3f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-2046.map)
            java  2047 16585.917822:        836                                                         LLC-load-misses:      7f8f0538d47b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-2046.map)
            java  2047 16585.917928:        778                                                         LLC-load-misses:      7f8f0538d3f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-2046.map)
            java  2047 16585.918025:        729                                                         LLC-load-misses:      7f8f0538d433 int pim.algorithm.TreeNode.search(int)+0x73 (/tmp/perf-2046.map)
            java  2047 16585.918119:        687                                                         LLC-load-misses:      7f8f0538d47b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-2046.map)
            java  2047 16585.918208:        649                                                         LLC-load-misses:      7f8f0538d3f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-2046.map)
            java  2047 16585.918289:        616                                                         LLC-load-misses:      7f8f0538d4ab int pim.algorithm.TreeNode.search(int)+0xeb (/tmp/perf-2046.map)
            java  2047 16585.918366:        589                                                         LLC-load-misses:      7f8f0538d46d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-2046.map)
            java  2047 16585.918441:        566                                                         LLC-load-misses:      7f8f0538d47b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-2046.map)
            java  2047 16585.918514:        545                                                         LLC-load-misses:      7f8f0538d47b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-2046.map)
            java  2047 16585.918616:        556                                                         LLC-load-misses:      7f8f0538d469 int pim.algorithm.TreeNode.search(int)+0xa9 (/tmp/perf-2046.map)
            java  2047 16585.918687:        523                                                         LLC-load-misses:      7f8f0538d40a int pim.algorithm.TreeNode.search(int)+0x4a (/tmp/perf-2046.map)
            java  2047 16585.918758:        506                                                         LLC-load-misses:      7f8f0538d41c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-2046.map)
            java  2047 16585.918822:        490                                                         LLC-load-misses:      7f8f0538d46d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-2046.map)
            java  2047 16585.918887:        479                                                         LLC-load-misses:      7f8f0538d46d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-2046.map)
            java  2047 16585.918948:        468                                                         LLC-load-misses:      7f8f0538d4ab int pim.algorithm.TreeNode.search(int)+0xeb (/tmp/perf-2046.map)
            java  2047 16585.919007:        460                                                         LLC-load-misses:      7f8f0538d3f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-2046.map)
            java  2047 16585.919066:        454                                                         LLC-load-misses:      7f8f0538d41c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-2046.map)
            java  2047 16585.919131:        447                                                         LLC-load-misses:      7f8f0538d41c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-2046.map)
            java  2047 16585.919191:        437                                                         LLC-load-misses:      7f8f0538d433 int pim.algorithm.TreeNode.search(int)+0x73 (/tmp/perf-2046.map)
            java  2047 16585.919247:        430                                                         LLC-load-misses:      7f8f0538d41c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-2046.map)
            java  2047 16585.919303:        427                                                         LLC-load-misses:      7f8f0538d4c0 int pim.algorithm.TreeNode.search(int)+0x100 (/tmp/perf-2046.map)
            java  2047 16585.919358:        423                                                         LLC-load-misses:      7f8f0538d41c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-2046.map)
            java  2047 16585.919416:        421                                                         LLC-load-misses:      7f8f0538d3f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-2046.map)
            java  2047 16585.919470:        416                                                         LLC-load-misses:      7f8f0538d452 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-2046.map)
            java  2047 16585.919523:        415                                                         LLC-load-misses:      7f8f0538d493 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-2046.map)
            java  2047 16585.919576:        415                                                         LLC-load-misses:      7f8f0538d493 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-2046.map)
            java  2047 16585.919628:        414                                                         LLC-load-misses:      7f8f0538d41c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-2046.map)
            java  2047 16585.919681:        414                                                         LLC-load-misses:      7f8f0538d40a int pim.algorithm.TreeNode.search(int)+0x4a (/tmp/perf-2046.map)
            java  2047 16585.919738:        413                                                         LLC-load-misses:      7f8f0538d3f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-2046.map)
            java  2047 16585.919793:        409                                                         LLC-load-misses:      7f8f0538d40e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-2046.map)
            java  2047 16585.919848:        406                                                         LLC-load-misses:      7f8f0538d493 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-2046.map)
            java  2047 16585.919902:        404                                                         LLC-load-misses:      7f8f0538d4ab int pim.algorithm.TreeNode.search(int)+0xeb (/tmp/perf-2046.map)
            java  2047 16585.919956:        402                                                         LLC-load-misses:      7f8f0538d452 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-2046.map)
            java  2047 16585.920007:        401                                                         LLC-load-misses:      7f8f0538d493 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-2046.map)
            java  2047 16585.920062:        401                                                         LLC-load-misses:      7f8f0538d46d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-2046.map)
            java  2047 16585.920113:        399                                                         LLC-load-misses:      7f8f0538d469 int pim.algorithm.TreeNode.search(int)+0xa9 (/tmp/perf-2046.map)
            java  2047 16585.920167:        399                                                         LLC-load-misses:      7f8f0538d3f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-2046.map)
            java  2047 16585.920219:        398                                                         LLC-load-misses:      7f8f0538d3f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-2046.map)
            java  2047 16585.920271:        398                                                         LLC-load-misses:      7f8f0538d4c1 int pim.algorithm.TreeNode.search(int)+0x101 (/tmp/perf-2046.map)
            java  2047 16585.920332:        398                                                         LLC-load-misses:      7f8f0538d41c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-2046.map)
            java  2047 16585.920385:        392                                                         LLC-load-misses:      7f8f0538d452 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-2046.map)
            java  2047 16585.920397:       1517                                                               LLC-loads:      7f8f0538d46d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-2046.map)
            java  2047 16585.920440:        392                                                         LLC-load-misses:      7f8f0538d3f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-2046.map)
            java  2047 16585.920496:        389                                                         LLC-load-misses:      7f8f0538d41c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-2046.map)
            java  2047 16585.920550:        386                                                         LLC-load-misses:      7f8f0538d47b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-2046.map)
            java  2047 16585.920559:       1517                                                               LLC-loads:      7f8f0538d493 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-2046.map)
            java  2047 16585.920605:        385                                                         LLC-load-misses:      7f8f0538d433 int pim.algorithm.TreeNode.search(int)+0x73 (/tmp/perf-2046.map)
            java  2047 16585.920656:        383                                                         LLC-load-misses:      7f8f0538d41c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-2046.map)
            java  2047 16585.920704:        384                                                         LLC-load-misses:      7f8f0538d41c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-2046.map)
            java  2047 16585.920755:        387                                                         LLC-load-misses:      7f8f0538d44d int pim.algorithm.TreeNode.search(int)+0x8d (/tmp/perf-2046.map)
            java  2047 16585.920805:        388                                                         LLC-load-misses:      7f8f0538d40e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-2046.map)
            java  2047 16585.920860:        390                                                         LLC-load-misses:      7f8f0538d48e int pim.algorithm.TreeNode.search(int)+0xce (/tmp/perf-2046.map)
            java  2047 16585.920865:       1272                                                               LLC-loads:      7f8f0538d452 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-2046.map)
            java  2047 16585.920913:        388                                                         LLC-load-misses:      7f8f0538d40e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-2046.map)
            java  2047 16585.920965:        388                                                         LLC-load-misses:      7f8f0538d47b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-2046.map)
            java  2047 16585.921001:       1170                                                               LLC-loads:      7f8f0538d46d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-2046.map)
            java  2047 16585.921018:        388                                                         LLC-load-misses:      7f8f0538d4c0 int pim.algorithm.TreeNode.search(int)+0x100 (/tmp/perf-2046.map)
            java  2047 16585.921068:        388                                                         LLC-load-misses:      7f8f0538d3f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-2046.map)
            java  2047 16585.921117:        389                                                         LLC-load-misses:      7f8f0538d493 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-2046.map)
            java  2047 16585.921126:       1080                                                               LLC-loads:      7f8f0538d41c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-2046.map)
            java  2047 16585.921169:        392                                                         LLC-load-misses:      7f8f0538d3f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-2046.map)
            java  2047 16585.921220:        392                                                         LLC-load-misses:      7f8f0538d41c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-2046.map)
            java  2047 16585.921241:       1002                                                               LLC-loads:      7f8f0538d41c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-2046.map)
            java  2047 16585.921276:        393                                                         LLC-load-misses:      7f8f0538d3f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-2046.map)
            java  2047 16585.921324:        390                                                         LLC-load-misses:      7f8f0538d3f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-2046.map)
            java  2047 16585.921347:        934                                                               LLC-loads:      7f8f0538d41c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-2046.map)
            java  2047 16585.921381:        393                                                         LLC-load-misses:      7f8f0538d41c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-2046.map)
            java  2047 16585.921432:        389                                                         LLC-load-misses:      7f8f0538d41c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-2046.map)
            java  2047 16585.921448:        875                                                               LLC-loads:      7f8f0538d40e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-2046.map)
            java  2047 16585.921482:        390                                                         LLC-load-misses:      7f8f0538d4ab int pim.algorithm.TreeNode.search(int)+0xeb (/tmp/perf-2046.map)
            java  2047 16585.921535:        391                                                         LLC-load-misses:      7f8f0538d46d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-2046.map)
            java  2047 16585.921542:        823                                                               LLC-loads:      7f8f0538d3f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-2046.map)
            java  2047 16585.921589:        390                                                         LLC-load-misses:      7f8f0538d46d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-2046.map)
            java  2047 16585.921631:        778                                                               LLC-loads:      7f8f0538d469 int pim.algorithm.TreeNode.search(int)+0xa9 (/tmp/perf-2046.map)
            java  2047 16585.921642:        389                                                         LLC-load-misses:      7f8f0538d47b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-2046.map)
            java  2047 16585.921695:        389                                                         LLC-load-misses:      7f8f0538d46d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-2046.map)
            java  2047 16585.921716:        738                                                               LLC-loads:      7f8f0538d3f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-2046.map)
            java  2047 16585.921744:        388                                                         LLC-load-misses:      7f8f0538d47b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-2046.map)
            java  2047 16585.921791:        703                                                               LLC-loads:      7f8f0538d41c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-2046.map)
            java  2047 16585.921796:        391                                                         LLC-load-misses:      7f8f0538d41c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-2046.map)
            java  2047 16585.921847:        391                                                         LLC-load-misses:      7f8f0538d3f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-2046.map)
            java  2047 16585.921867:        677                                                               LLC-loads:      7f8f0538d3f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-2046.map)
            java  2047 16585.921899:        391                                                         LLC-load-misses:      7f8f0538d3f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-2046.map)
            java  2047 16585.921941:        650                                                               LLC-loads:      7f8f0538d452 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-2046.map)
            java  2047 16585.921952:        391                                                         LLC-load-misses:      7f8f0538d41c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-2046.map)
            java  2047 16585.922003:        391                                                         LLC-load-misses:      7f8f0538d493 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-2046.map)
            java  2047 16585.922013:        627                                                               LLC-loads:      7f8f0538d46d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-2046.map)
            java  2047 16585.922059:        392                                                         LLC-load-misses:      7f8f0538d3f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-2046.map)
            java  2047 16585.922082:        605                                                               LLC-loads:      7f8f0538d3f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-2046.map)
            java  2047 16585.922111:        389                                                         LLC-load-misses:      7f8f0538d4ab int pim.algorithm.TreeNode.search(int)+0xeb (/tmp/perf-2046.map)
            java  2047 16585.922145:        586                                                               LLC-loads:      7f8f0538d40e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-2046.map)
            java  2047 16585.922163:        389                                                         LLC-load-misses:      7f8f0538d3f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-2046.map)
            java  2047 16585.922209:        574                                                               LLC-loads:      7f8f0538d493 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-2046.map)
            java  2047 16585.922219:        389                                                         LLC-load-misses:      7f8f0538d41c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-2046.map)
            java  2047 16585.922268:        386                                                         LLC-load-misses:      7f8f0538d452 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-2046.map)
