# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 63K of event 'LLC-load-misses'
# Event count (approx.): 12567891
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                    
# ........  ...............  ..................  ..........................................................................................................................................................
#
    17.87%  DPU_POLL_0000    libdpuhw.so.2023.1  [.] xeon_sp_read_from_cis
     7.69%  java             perf-15506.map      [.] void pim.algorithm.CPUTreeNode.insertNewCPUNode(int, int)
     4.43%  java             perf-15506.map      [.] void pim.algorithm.TreeWriter.convertCPUTreeToPIMTree(pim.algorithm.TreeNode, int, int, int)
     4.03%  G1 Refine#0      libjvm.so           [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     3.41%  java             perf-15506.map      [.] void pim.algorithm.TreeWriter.verifyLargePIMTree(pim.algorithm.TreeNode)
     2.58%  java             [kernel.kallsyms]   [k] copy_page
     2.49%  java             libdpuhw.so.2023.1  [.] xeon_sp_read_from_cis
     2.20%  C2 CompilerThre  libjvm.so           [.] IndexSetIterator::advance_and_next
     2.06%  G1 Refine#1      libjvm.so           [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     2.06%  java             perf-15506.map      [.] void pim.algorithm.TreeWriter.convertCPUTreeToPIMTree(pim.algorithm.TreeNode, int, int, int)
     1.63%  G1 Refine#2      libjvm.so           [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     1.57%  java             perf-15506.map      [.] void pim.algorithm.CPUTreeNode.insertNewCPUNode(int, int)
     1.36%  java             perf-15506.map      [.] java.util.ArrayList pim.algorithm.BSTBuilder$BaseKeyValuePairGenerator.genPairs(int)
     1.25%  G1 Refine#0      libjvm.so           [.] G1RemSet::refine_card_concurrently
     1.18%  G1 Refine#1      libjvm.so           [.] OtherRegionsTable::add_reference
     1.18%  G1 Refine#0      libjvm.so           [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     1.11%  java             libjvm.so           [.] aci_CopyRight
     1.11%  java             perf-15506.map      [.] pim.algorithm.TreeNode pim.algorithm.BSTBuilder.buildCPUTree(java.util.ArrayList)
     1.06%  G1 Refine#0      libjvm.so           [.] OtherRegionsTable::add_reference
     0.92%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Split
     0.91%  G1 Refine#0      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.90%  G1 Refine#1      libjvm.so           [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.87%  java             perf-15506.map      [.] java.util.HashMap$Node[] java.util.HashMap.resize()
     0.76%  G1 Refine#2      libjvm.so           [.] OtherRegionsTable::add_reference
     0.73%  java             perf-15506.map      [.] java.util.HashMap$Node[] java.util.HashMap.resize()
     0.71%  java             perf-15506.map      [.] java.util.ArrayList pim.algorithm.BSTBuilder$BaseKeyValuePairGenerator.genPairs(int)
     0.64%  G1 Refine#1      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.64%  DPU_MRAM_0100    libdpuhw.so.2023.1  [.] threads_write_to_rank
     0.64%  G1 Refine#2      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.63%  G1 Refine#2      libjvm.so           [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.53%  G1 Refine#3      libjvm.so           [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.51%  G1 Refine#3      libjvm.so           [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.51%  G1 Refine#1      libjvm.so           [.] G1RemSet::refine_card_concurrently
     0.49%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::interfere_with_live
     0.49%  G1 Refine#3      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.46%  java             perf-15506.map      [.] pim.algorithm.TreeNode pim.algorithm.BSTBuilder.buildCPUTree(java.util.ArrayList)
     0.46%  GC Thread#13     libjvm.so           [.] OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.43%  java             perf-15506.map      [.] Interpreter
     0.40%  G1 Refine#10     libjvm.so           [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.40%  G1 Refine#4      libjvm.so           [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.40%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::post_allocate_copy_removal
     0.38%  G1 Refine#2      libjvm.so           [.] G1RemSet::refine_card_concurrently
     0.37%  java             libc-2.28.so        [.] __memcpy_avx_unaligned_erms
     0.36%  G1 Refine#4      libjvm.so           [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.36%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::build_ifg_physical
     0.34%  GC Thread#19     libjvm.so           [.] OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.31%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::effective_degree
     0.30%  GC Thread#10     libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.30%  G1 Refine#11     libjvm.so           [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.29%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::remove_node
     0.29%  G1 Refine#3      libjvm.so           [.] OtherRegionsTable::add_reference
     0.28%  GC Thread#2      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.28%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::add_input_to_liveout
