# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 425K of event 'LLC-load-misses'
# Event count (approx.): 71882401
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                       
# ........  ...............  ...................  .............................................................................................................................................................................
#
    82.42%  DPU_POLL_0000    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     1.43%  java             perf-19708.map       [.] void pim.algorithm.CPUTreeNode.insertNewCPUNode(int, int)
     1.10%  DPU_WORK_0000    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.88%  java             [kernel.kallsyms]    [k] copy_page
     0.80%  java             perf-19708.map       [.] void pim.algorithm.TreeWriter.convertCPUTreeToPIMTree(pim.algorithm.TreeNode, int, int, int)
     0.60%  C2 CompilerThre  libjvm.so            [.] IndexSetIterator::advance_and_next
     0.53%  java             perf-19708.map       [.] void pim.algorithm.TreeWriter.verifyLargePIMTree(pim.algorithm.TreeNode)
     0.51%  java             perf-19708.map       [.] java.util.HashMap$Node[] java.util.HashMap.resize()
     0.46%  java             libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.30%  java             perf-19708.map       [.] pim.algorithm.TreeNode pim.algorithm.BSTBuilder.buildCPUTree(java.util.ArrayList)
     0.28%  java             perf-19708.map       [.] void pim.algorithm.CPUTreeNode.insertNewCPUNode(int, int)
     0.28%  java             perf-19708.map       [.] java.util.ArrayList pim.algorithm.BSTTester.readArrayList()
     0.27%  java             perf-19708.map       [.] java.util.ArrayList pim.algorithm.BSTBuilder$BaseKeyValuePairGenerator.genPairs(int)
     0.24%  G1 Refine#0      libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.24%  java             perf-19708.map       [.] void pim.algorithm.TreeWriter.convertCPUTreeToPIMTree(pim.algorithm.TreeNode, int, int, int)
     0.20%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::gather_lrg_masks
     0.17%  java             perf-19708.map       [.] StubRoutines (2)
     0.17%  G1 Refine#1      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.15%  G1 Refine#0      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.14%  G1 Refine#1      libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.14%  G1 Refine#3      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.13%  GC Thread#2      libc-2.28.so         [.] __memmove_sse2_unaligned_erms
     0.13%  G1 Refine#2      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.12%  DPU_MRAM_0100    libdpuhw.so.2023.1   [.] threads_write_to_rank
     0.11%  G1 Refine#0      libjvm.so            [.] OtherRegionsTable::add_reference
     0.11%  G1 Refine#4      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.11%  G1 Refine#0      libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.11%  java             libjvm.so            [.] acl_CopyRight
     0.10%  C2 CompilerThre  libjvm.so            [.] PhaseLive::compute
     0.10%  GC Thread#20     libc-2.28.so         [.] __memmove_sse2_unaligned_erms
     0.10%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::SquareUp
     0.10%  G1 Refine#2      libjvm.so            [.] OopOopIterateDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
     0.09%  java             perf-19708.map       [.] pim.algorithm.TreeNode pim.algorithm.BSTBuilder.buildCPUTree(java.util.ArrayList)
     0.09%  G1 Refine#1      libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.09%  java             libc-2.28.so         [.] __memcpy_avx_unaligned_erms
     0.09%  java             perf-19708.map       [.] Interpreter
     0.08%  G1 Refine#3      libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.08%  G1 Refine#15     libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.08%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::Split
     0.07%  GC Thread#17     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.07%  G1 Refine#3      libjvm.so            [.] OtherRegionsTable::add_reference
     0.07%  GC Thread#12     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.07%  G1 Refine#5      libjvm.so            [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.07%  G1 Refine#1      libjvm.so            [.] OtherRegionsTable::add_reference
