 C2 CompilerThre 20504  4068.549264:          2                                                        LLC-store-misses:      7f1f1a16e88e CodeHeap::search_freelist+0x13e (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
 C2 CompilerThre 20532  4068.860695:       6579                                                              mem-stores:      7f1f1a1a82a3 IfNode::search_identical+0x53 (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
 C2 CompilerThre 20532  4068.874047:      10707                                                        L1-dcache-stores:      7f1f1a1a8276 IfNode::search_identical+0x26 (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
            java 20419  4070.297678:      15848                                                              mem-stores:      7f1f1a0789ad metaspace::FreeChunkListVector::search_chunk_ascending+0x7d (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
            java 20419  4070.335320:      12684                                                        L1-dcache-stores:      7f1efdfd61cd boolean java.util.regex.Matcher.search(int)+0x4d (/tmp/perf-20418.map)
            java 20419  4070.336217:      13661                                                        L1-dcache-stores:      7f1efdfd631b boolean java.util.regex.Matcher.search(int)+0x19b (/tmp/perf-20418.map)
            java 20419  4070.337091:      12652                                                              mem-stores:      7f1efdfd64bd boolean java.util.regex.Matcher.search(int)+0x33d (/tmp/perf-20418.map)
            java 20419  4070.337684:      13818                                                        L1-dcache-stores:      7f1efdfd62e7 boolean java.util.regex.Matcher.search(int)+0x167 (/tmp/perf-20418.map)
            java 20419  4070.338111:      14095                                                        L1-dcache-stores:      7f1efdfd629b boolean java.util.regex.Matcher.search(int)+0x11b (/tmp/perf-20418.map)
            java 20419  4070.338663:      14178                                                              mem-stores:      7f1efdfd62d7 boolean java.util.regex.Matcher.search(int)+0x157 (/tmp/perf-20418.map)
            java 20419  4070.340956:      13671                                                        L1-dcache-stores:      7f1efdfd648b boolean java.util.regex.Matcher.search(int)+0x30b (/tmp/perf-20418.map)
 C2 CompilerThre 20433  4070.397217:       7319                                                              mem-stores:      7f1f1a1a829c IfNode::search_identical+0x4c (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
 C2 CompilerThre 20433  4070.397784:        271                                                               LLC-loads:      7f1f1a1a82a3 IfNode::search_identical+0x53 (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
 C2 CompilerThre 20433  4070.399511:       6837                                                              mem-stores:      7f1f1a1a8293 IfNode::search_identical+0x43 (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
 C2 CompilerThre 20562  4070.401205:       4021                                                        L1-dcache-stores:      7f1f1a1a8289 IfNode::search_identical+0x39 (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
 C2 CompilerThre 20433  4070.405619:      18727                                                              mem-stores:      7f1f1a1a82e0 IfNode::search_identical+0x90 (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
 C2 CompilerThre 20561  4070.585686:       4735                                                        L1-dcache-stores:      7f1f1a1a829c IfNode::search_identical+0x4c (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
 C2 CompilerThre 20561  4070.585757:       5426                                                        L1-dcache-stores:      7f1f1a1a8289 IfNode::search_identical+0x39 (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
 C2 CompilerThre 20561  4070.585995:       6770                                                        L1-dcache-stores:      7f1f1a1a828e IfNode::search_identical+0x3e (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
 C2 CompilerThre 20433  4072.626956:       5808                                                        L1-dcache-stores:      7f1f1a1a8289 IfNode::search_identical+0x39 (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
 C2 CompilerThre 20563  4072.650938:      11834                                                        L1-dcache-stores:      7f1f1a16e7ca CodeHeap::search_freelist+0x7a (/home/upmem0054/hwanhong/jdk-17.0.1/lib/server/libjvm.so)
