            java 19552 37770.989495:     100003                                 offcore_requests.l3_miss_demand_data_rd:      7f2da1fbec32 int pim.algorithm.TreeNode.search(int)+0x532 (/tmp/perf-19551.map)
            java 19552 37770.993737:     100003                          offcore_response.all_data_rd.l3_miss.any_snoop:      7f2da938fdd7 int pim.algorithm.TreeNode.search(int)+0x97 (/tmp/perf-19551.map)
            java 19552 37771.011127:        512                                                         LLC-load-misses:      7f2da938fd73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-19551.map)
            java 19552 37771.011260:        513                                                         LLC-load-misses:      7f2da938fdb4 int pim.algorithm.TreeNode.search(int)+0x74 (/tmp/perf-19551.map)
            java 19552 37771.011377:        570                                                         LLC-load-misses:      7f2da938fdb9 int pim.algorithm.TreeNode.search(int)+0x79 (/tmp/perf-19551.map)
            java 19552 37771.011497:        652                                                         LLC-load-misses:      7f2da938fdea int pim.algorithm.TreeNode.search(int)+0xaa (/tmp/perf-19551.map)
            java 19552 37771.011633:        741                                                         LLC-load-misses:      7f2da938fd98 int pim.algorithm.TreeNode.search(int)+0x58 (/tmp/perf-19551.map)
            java 19552 37771.011805:        818                                                         LLC-load-misses:      7f2da938fe01 int pim.algorithm.TreeNode.search(int)+0xc1 (/tmp/perf-19551.map)
            java 19552 37771.011998:        865                                                         LLC-load-misses:      7f2da938fd73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-19551.map)
            java 19552 37771.012179:        898                                                         LLC-load-misses:      7f2da938fdea int pim.algorithm.TreeNode.search(int)+0xaa (/tmp/perf-19551.map)
            java 19552 37771.012368:        941                                                         LLC-load-misses:      7f2da938fd8e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-19551.map)
            java 19552 37771.012568:        979                                                         LLC-load-misses:      7f2da938fe01 int pim.algorithm.TreeNode.search(int)+0xc1 (/tmp/perf-19551.map)
            java 19552 37771.012775:       1009                                                         LLC-load-misses:      7f2da938fde5 int pim.algorithm.TreeNode.search(int)+0xa5 (/tmp/perf-19551.map)
            java 19552 37771.012994:       1036                                                         LLC-load-misses:      7f2da938fdea int pim.algorithm.TreeNode.search(int)+0xaa (/tmp/perf-19551.map)
            java 19552 37771.013214:       1055                                                         LLC-load-misses:      7f2da938fd73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-19551.map)
            java 19552 37771.013439:       1073                                                         LLC-load-misses:      7f2da938fdea int pim.algorithm.TreeNode.search(int)+0xaa (/tmp/perf-19551.map)
            java 19552 37771.013663:       1089                                                         LLC-load-misses:      7f2da938fe01 int pim.algorithm.TreeNode.search(int)+0xc1 (/tmp/perf-19551.map)
            java 19552 37771.013906:       1105                                                         LLC-load-misses:      7f2da938fd73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-19551.map)
            java 19552 37771.014157:       1109                                                         LLC-load-misses:      7f2da938fdb4 int pim.algorithm.TreeNode.search(int)+0x74 (/tmp/perf-19551.map)
            java 19552 37771.014404:       1109                                                         LLC-load-misses:      7f2da938fd73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-19551.map)
            java 19552 37771.014868:       1128                                                         LLC-load-misses:      7f2da938fd73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-19551.map)
            java 19552 37771.015126:       1134                                                         LLC-load-misses:      7f2da938fd8e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-19551.map)
            java 19552 37771.015230:        920                                                               LLC-loads:      7f2da938fd73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-19551.map)
            java 19552 37771.015404:       1133                                                         LLC-load-misses:      7f2da938fd73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-19551.map)
            java 19552 37771.015406:        920                                                               LLC-loads:      7f2da938fd73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-19551.map)
            java 19552 37771.015581:        968                                                               LLC-loads:      7f2da938fd73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-19551.map)
            java 19552 37771.015772:       1020                                                               LLC-loads:      7f2da938fd98 int pim.algorithm.TreeNode.search(int)+0x58 (/tmp/perf-19551.map)
            java 19552 37771.015884:       1124                                                         LLC-load-misses:      7f2da938fd73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-19551.map)
            java 19552 37771.015972:       1060                                                               LLC-loads:      7f2da938fd98 int pim.algorithm.TreeNode.search(int)+0x58 (/tmp/perf-19551.map)
            java 19552 37771.016131:       1132                                                         LLC-load-misses:      7f2da938fdb4 int pim.algorithm.TreeNode.search(int)+0x74 (/tmp/perf-19551.map)
            java 19552 37771.016187:       1094                                                               LLC-loads:      7f2da938fdea int pim.algorithm.TreeNode.search(int)+0xaa (/tmp/perf-19551.map)
            java 19552 37771.016375:       1134                                                         LLC-load-misses:      7f2da938fd8e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-19551.map)
            java 19552 37771.016400:       1116                                                               LLC-loads:      7f2da938fd73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-19551.map)
            java 19552 37771.016594:       1138                                                         LLC-load-misses:      7f2da938fdea int pim.algorithm.TreeNode.search(int)+0xaa (/tmp/perf-19551.map)
