     G1 Refine#8  9565 34293.061400:       1833                                                               LLC-loads:  ffffffff811ec1bb __anon_vma_interval_tree_subtree_search.part.7+0x4b ([kernel.kallsyms])
            java  9424 34853.079466:       9024                                                               LLC-loads:      7f32e938efdb int pim.algorithm.TreeNode.search(int)+0x9b (/tmp/perf-9423.map)
            java  9424 34853.130105:       9046                                                         LLC-load-misses:      7f32e938ef73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-9423.map)
            java  9424 34853.239566:       8805                                                         LLC-load-misses:      7f32e938f017 int pim.algorithm.TreeNode.search(int)+0xd7 (/tmp/perf-9423.map)
            java  9424 34853.240515:       8609                                                         LLC-load-misses:      7f32e938ef73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-9423.map)
            java  9424 34853.244778:       8910                                                         LLC-load-misses:      7f32e938ef73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-9423.map)
            java  9424 34853.250444:       8910                                                               LLC-loads:      7f32e938f033 int pim.algorithm.TreeNode.search(int)+0xf3 (/tmp/perf-9423.map)
            java  9424 34853.268680:     100003                                            offcore_requests.all_data_rd:      7f32e938ef73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-9423.map)
            java  9424 34853.276322:     100003                                 offcore_requests.l3_miss_demand_data_rd:      7f32e938efea int pim.algorithm.TreeNode.search(int)+0xaa (/tmp/perf-9423.map)
            java  9424 34853.300396:       8531                                                         LLC-load-misses:      7f32e938efea int pim.algorithm.TreeNode.search(int)+0xaa (/tmp/perf-9423.map)
            java  9424 34853.300494:       8269                                                               LLC-loads:      7f32e938ef98 int pim.algorithm.TreeNode.search(int)+0x58 (/tmp/perf-9423.map)
            java  9424 34853.305722:       8078                                                               LLC-loads:      7f32e938ef8a int pim.algorithm.TreeNode.search(int)+0x4a (/tmp/perf-9423.map)
            java  9424 34853.351821:       8496                                                         LLC-load-misses:      7f32e938efea int pim.algorithm.TreeNode.search(int)+0xaa (/tmp/perf-9423.map)
            java  9424 34853.355726:       7432                                                               LLC-loads:      7f32e938ef98 int pim.algorithm.TreeNode.search(int)+0x58 (/tmp/perf-9423.map)
            java  9424 34853.357180:       8147                                                               LLC-loads:      7f32e938f033 int pim.algorithm.TreeNode.search(int)+0xf3 (/tmp/perf-9423.map)
            java  9424 34853.357878:       8135                                                         LLC-load-misses:      7f32e938ef98 int pim.algorithm.TreeNode.search(int)+0x58 (/tmp/perf-9423.map)
            java  9424 34853.358581:       7553                                                               LLC-loads:      7f32e938efea int pim.algorithm.TreeNode.search(int)+0xaa (/tmp/perf-9423.map)
            java  9424 34853.359931:       6342                                                               LLC-loads:      7f32e938efdb int pim.algorithm.TreeNode.search(int)+0x9b (/tmp/perf-9423.map)
            java  9424 34853.362274:       7494                                                               LLC-loads:      7f32e938efb4 int pim.algorithm.TreeNode.search(int)+0x74 (/tmp/perf-9423.map)
            java  9424 34853.374218:     100003                                            offcore_requests.all_data_rd:      7f32e938efea int pim.algorithm.TreeNode.search(int)+0xaa (/tmp/perf-9423.map)
            java  9424 34853.381637:     100003                                 offcore_requests.l3_miss_demand_data_rd:      7f32e938efea int pim.algorithm.TreeNode.search(int)+0xaa (/tmp/perf-9423.map)
            java  9424 34853.387488:     100003                          offcore_response.all_data_rd.l3_miss.any_snoop:      7f32e938f001 int pim.algorithm.TreeNode.search(int)+0xc1 (/tmp/perf-9423.map)
            java  9424 34853.407456:       6808                                                         LLC-load-misses:      7f32e938ef98 int pim.algorithm.TreeNode.search(int)+0x58 (/tmp/perf-9423.map)
            java  9424 34853.408804:       6808                                                         LLC-load-misses:      7f32e938efea int pim.algorithm.TreeNode.search(int)+0xaa (/tmp/perf-9423.map)
            java  9424 34853.410138:       6116                                                         LLC-load-misses:      7f32e938ef73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-9423.map)
            java  9424 34853.411390:       4966                                                         LLC-load-misses:      7f32e938ef73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-9423.map)
            java  9424 34853.411765:       6922                                                               LLC-loads:      7f32e938efea int pim.algorithm.TreeNode.search(int)+0xaa (/tmp/perf-9423.map)
            java  9424 34853.412376:       4470                                                         LLC-load-misses:      7f32e938ef98 int pim.algorithm.TreeNode.search(int)+0x58 (/tmp/perf-9423.map)
            java  9424 34853.412924:       6922                                                               LLC-loads:      7f32e938f001 int pim.algorithm.TreeNode.search(int)+0xc1 (/tmp/perf-9423.map)
            java  9424 34853.413284:       4054                                                         LLC-load-misses:      7f32e938ef8e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-9423.map)
            java  9424 34853.414068:       6245                                                               LLC-loads:      7f32e938efea int pim.algorithm.TreeNode.search(int)+0xaa (/tmp/perf-9423.map)
            java  9424 34853.414087:       3688                                                         LLC-load-misses:      7f32e938ef73 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-9423.map)
            java  9424 34853.414840:       3372                                                         LLC-load-misses:      7f32e938efb4 int pim.algorithm.TreeNode.search(int)+0x74 (/tmp/perf-9423.map)
            java  9424 34853.415119:       5636                                                               LLC-loads:      7f32e938ef98 int pim.algorithm.TreeNode.search(int)+0x58 (/tmp/perf-9423.map)
