# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'LLC-load-misses'
# Event count (approx.): 3944687
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                       
# ........  ...............  ..................  .............................................................................................................................................................................
#
    33.30%  java             libdpuhw.so.2023.1  [.] xeon_sp_read_from_cis
     7.40%  java             libjvm.so           [.] AccessInternal::PostRuntimeDispatch<G1BarrierSet::AccessBarrier<26501222ul, G1BarrierSet>, (AccessInternal::BarrierType)8, 26501222ul>::oop_access_barrier<HeapWordImpl*>
     5.13%  java             perf-31204.map      [.] java.util.ArrayList pim.algorithm.BSTTester.readArrayList()
     4.57%  java             perf-31204.map      [.] void pim.algorithm.CPUTreeNode.insertNewCPUNode(int, int)
     2.33%  java             perf-31204.map      [.] StubRoutines (2)
     2.22%  java             [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     1.79%  java             libjvm.so           [.] acl_CopyRight
     1.70%  GC Thread#11     libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     1.56%  GC Thread#0      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     1.08%  GC Thread#22     libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     1.07%  GC Thread#1      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     1.05%  GC Thread#5      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     1.05%  java             perf-31204.map      [.] pim.algorithm.TreeNode pim.algorithm.BSTBuilder.buildCPUTree(java.util.ArrayList)
     1.03%  GC Thread#13     libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.98%  GC Thread#21     libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.94%  GC Thread#6      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.91%  GC Thread#17     libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.91%  GC Thread#3      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.86%  GC Thread#20     libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.84%  GC Thread#6      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.78%  java             perf-31204.map      [.] int pim.algorithm.TreeNode.search(int)
     0.78%  GC Thread#19     libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.72%  GC Thread#19     libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.71%  java             [kernel.kallsyms]   [k] copy_page
     0.71%  VM Thread        [kernel.kallsyms]   [k] perf_iterate_ctx
     0.71%  GC Thread#4      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.66%  java             perf-31204.map      [.] java.lang.String[] java.lang.String.split(java.lang.String, int)
     0.65%  GC Thread#2      libc-2.28.so        [.] __memmove_sse2_unaligned_erms
     0.61%  C1 CompilerThre  [kernel.kallsyms]   [k] perf_iterate_ctx
     0.61%  C1 CompilerThre  [kernel.kallsyms]   [k] __free_pages_ok
     0.60%  GC Thread#9      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.60%  java             [kernel.kallsyms]   [k] perf_iterate_ctx
     0.55%  GC Thread#15     libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.52%  java             perf-31204.map      [.] int pim.algorithm.TreeNode.search(int)
     0.51%  C1 CompilerThre  [kernel.kallsyms]   [k] free_pages_and_swap_cache
     0.45%  GC Thread#12     libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.43%  GC Thread#13     libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.42%  GC Thread#14     libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.42%  java             perf-31204.map      [.] java.util.ArrayList pim.algorithm.BSTTester.readArrayList()
     0.42%  GC Thread#11     libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.41%  java             [kernel.kallsyms]   [k] get_page_from_freelist
     0.39%  GC Thread#8      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.36%  java             perf-31204.map      [.] pim.algorithm.TreeNode pim.algorithm.BSTBuilder.buildCPUTree(java.util.ArrayList)
     0.36%  java             perf-31204.map      [.] Interpreter
     0.35%  GC Thread#10     libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.33%  GC Thread#7      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.32%  java             perf-31204.map      [.] int java.lang.Integer.parseInt(java.lang.String, int)
     0.32%  GC Thread#12     libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.32%  GC Thread#8      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.30%  GC Thread#16     libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.28%  GC Thread#16     libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.28%  GC Thread#1      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.26%  G1 Refine#2      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
     0.25%  C1 CompilerThre  [kernel.kallsyms]   [k] unmap_page_range
     0.24%  GC Thread#2      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.23%  GC Thread#18     libjvm.so           [.] G1ScanCardClosure::do_oop_work<narrowOop>
     0.23%  GC Thread#10     libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
