# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5M of event 'LLC-load-misses'
# Event count (approx.): 4082090216
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                                    
# ........  ...............  ...................  ..........................................................................................................................................................................................
#
    90.36%  DPU_POLL_0000    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.67%  java             libc-2.28.so         [.] __memcpy_avx_unaligned_erms
     0.49%  DPU_WORK_0100    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.44%  C2 CompilerThre  libjvm.so            [.] IndexSetIterator::advance_and_next
     0.41%  DPU_WORK_0000    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.38%  DPU_WORK_0200    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.36%  DPU_MRAM_0101    libdpuhw.so.2023.1   [.] threads_write_to_rank
     0.34%  DPU_MRAM_0100    libdpuhw.so.2023.1   [.] threads_write_to_rank
     0.33%  DPU_WORK_0300    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.33%  DPU_MRAM_0102    libdpuhw.so.2023.1   [.] threads_write_to_rank
     0.31%  DPU_WORK_0400    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.31%  java             [kernel.kallsyms]    [k] try_to_wake_up
     0.26%  java             [kernel.kallsyms]    [k] available_idle_cpu
     0.21%  java             [kernel.kallsyms]    [k] select_task_rq_fair
     0.16%  DPU_MRAM_0103    libdpuhw.so.2023.1   [.] threads_write_to_rank
     0.15%  java             libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.11%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::gather_lrg_masks
     0.11%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::remove_node
     0.11%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::Split
     0.10%  java             [kernel.kallsyms]    [k] copy_user_enhanced_fast_string
     0.10%  java             [kernel.kallsyms]    [k] copy_page
     0.09%  C2 CompilerThre  libjvm.so            [.] PhaseLive::compute
     0.09%  java             [kernel.kallsyms]    [k] mark_wake_futex
     0.08%  java             [kernel.kallsyms]    [k] __unqueue_futex
     0.07%  java             libpthread-2.28.so   [.] __pthread_mutex_lock
     0.07%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::effective_degree
     0.06%  java             libjvm.so            [.] AccessInternal::PostRuntimeDispatch<G1BarrierSet::AccessBarrier<26501190ul, G1BarrierSet>, (AccessInternal::BarrierType)8, 26501190ul>::oop_access_barrier<HeapWordImpl*>
     0.06%  java             [kernel.kallsyms]    [k] get_page_from_freelist
     0.06%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::SquareUp
     0.06%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::interfere_with_live
     0.05%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::re_insert
     0.05%  java             [kernel.kallsyms]    [k] sched_clock_cpu
     0.05%  java             perf-3680.map        [.] java.util.ArrayList application.bst.BSTTester.readIntergerArrayList(java.lang.String)
     0.04%  java             [kernel.kallsyms]    [k] __free_pages_ok
