# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 247K of event 'LLC-load-misses'
# Event count (approx.): 255920901
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                                    
# ........  ...............  ...................  ..........................................................................................................................................................................................
#
    20.11%  java             [kernel.kallsyms]    [k] copy_user_enhanced_fast_string
     9.83%  java             libc-2.28.so         [.] __memcpy_avx_unaligned_erms
     6.85%  C2 CompilerThre  libjvm.so            [.] IndexSetIterator::advance_and_next
     5.77%  DPU_MRAM_0101    libdpuhw.so.2023.1   [.] threads_write_to_rank
     5.77%  DPU_MRAM_0100    libdpuhw.so.2023.1   [.] threads_write_to_rank
     5.48%  DPU_MRAM_0102    libdpuhw.so.2023.1   [.] threads_write_to_rank
     2.59%  DPU_MRAM_0103    libdpuhw.so.2023.1   [.] threads_write_to_rank
     2.55%  java             libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     1.71%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::gather_lrg_masks
     1.68%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::remove_node
     1.63%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::Split
     1.44%  C2 CompilerThre  libjvm.so            [.] PhaseLive::compute
     1.08%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::effective_degree
     1.03%  DPU_WORK_0300    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     1.00%  DPU_WORK_0400    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.95%  DPU_WORK_0100    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.91%  java             libjvm.so            [.] AccessInternal::PostRuntimeDispatch<G1BarrierSet::AccessBarrier<26501190ul, G1BarrierSet>, (AccessInternal::BarrierType)8, 26501190ul>::oop_access_barrier<HeapWordImpl*>
     0.88%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::re_insert
     0.81%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::interfere_with_live
     0.80%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::SquareUp
     0.78%  java             perf-8464.map        [.] java.util.ArrayList application.bst.BSTTester.readIntergerArrayList(java.lang.String)
     0.72%  java             [kernel.kallsyms]    [k] get_page_from_freelist
     0.70%  DPU_WORK_0200    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.66%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::build_ifg_physical
     0.64%  DPU_WORK_0000    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.63%  java             [kernel.kallsyms]    [k] __free_pages_ok
     0.54%  java             perf-8464.map        [.] StubRoutines (2)
     0.53%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::post_allocate_copy_removal
     0.50%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::add_input_to_liveout
     0.49%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::cache_lrg_info
     0.47%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::Select
     0.43%  C2 CompilerThre  libjvm.so            [.] IndexSet::IndexSet
     0.40%  java             [kernel.kallsyms]    [k] find_get_entry
     0.36%  C2 CompilerThre  libjvm.so            [.] IndexSet::alloc_block_containing
     0.32%  C2 CompilerThre  libjvm.so            [.] IndexSet::initialize
     0.30%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::merge_multidefs
     0.29%  C2 CompilerThre  libjvm.so            [.] PhaseLive::add_liveout
     0.27%  C2 CompilerThre  libjvm.so            [.] Compile::identify_useful_nodes
     0.25%  C2 CompilerThre  libjvm.so            [.] PhaseConservativeCoalesce::update_ifg
     0.23%  C2 CompilerThre  libjvm.so            [.] RegMask::clear_to_sets
     0.22%  GC Thread#13     [kernel.kallsyms]    [k] __free_pages_ok
     0.22%  C1 CompilerThre  libjvm.so            [.] BitMap::set_intersection_with_result
     0.21%  java             perf-8464.map        [.] Interpreter
     0.21%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::build_loop_late
     0.20%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::Register_Allocate
     0.19%  C1 CompilerThre  libjvm.so            [.] LIR_OpVisitState::visit
     0.18%  C1 CompilerThre  libjvm.so            [.] ValueStack::values_do
     0.18%  C1 CompilerThre  libjvm.so            [.] LinearScan::build_intervals
     0.17%  GC Thread#9      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.17%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::build_loop_early
     0.16%  C1 CompilerThre  libjvm.so            [.] LinearScan::eliminate_spill_moves
     0.15%  C2 CompilerThre  libjvm.so            [.] Node::replace_by
     0.15%  java             [kernel.kallsyms]    [k] copy_page
     0.14%  C1 CompilerThre  libjvm.so            [.] NullCheckEliminator::iterate_one
     0.14%  GC Thread#3      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.14%  C1 CompilerThre  libjvm.so            [.] BitMap::is_same
     0.14%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::Simplify
     0.14%  C2 CompilerThre  libc-2.28.so         [.] __memmove_sse2_unaligned_erms
     0.13%  C1 CompilerThre  libc-2.28.so         [.] __memmove_sse2_unaligned_erms
     0.13%  C2 CompilerThre  libjvm.so            [.] PhaseOutput::BuildOopMaps
     0.13%  java             libjvm.so            [.] acl_CopyRight
     0.13%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::schedule_local
     0.13%  C1 CompilerThre  libjvm.so            [.] BitMap::set_union
     0.13%  GC Thread#0      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.12%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::Dominators
     0.12%  C2 CompilerThre  ld-2.28.so           [.] __tls_get_addr
     0.12%  C2 CompilerThre  libjvm.so            [.] IndexSet::lrg_union
     0.12%  GC Thread#16     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.12%  C2 CompilerThre  libjvm.so            [.] RegMask::is_UP
     0.12%  C2 CompilerThre  libjvm.so            [.] JVMState::debug_start
     0.11%  GC Thread#13     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.11%  GC Thread#14     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.11%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::is_uncommon
     0.11%  C2 CompilerThre  ld-2.28.so           [.] _dl_update_slotinfo
     0.10%  C2 CompilerThre  libjvm.so            [.] PhaseAggressiveCoalesce::insert_copies
     0.10%  GC Thread#7      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.10%  C1 CompilerThre  libjvm.so            [.] LinearScan::resolve_collect_mappings
     0.10%  C2 CompilerThre  libjvm.so            [.] Compile::remove_useless_nodes
     0.10%  GC Thread#19     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.09%  java             perf-8464.map        [.] java.lang.String[] java.lang.String.split(java.lang.String, int)
     0.09%  C1 CompilerThre  libjvm.so            [.] LIR_OpVisitState::append
     0.09%  GC Thread#8      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.09%  C2 CompilerThre  [kernel.kallsyms]    [k] copy_page
     0.09%  GC Thread#20     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.09%  GC Thread#14     libc-2.28.so         [.] __memmove_sse2_unaligned_erms
     0.09%  C1 CompilerThre  libjvm.so            [.] BitMap::set_difference
     0.09%  C2 CompilerThre  libjvm.so            [.] MachNode::rematerialize
     0.09%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::split_if_with_blocks
     0.08%  C2 CompilerThre  libjvm.so            [.] RegMask::Size
     0.08%  GC Thread#2      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.08%  GC Thread#10     [kernel.kallsyms]    [k] copy_page
     0.08%  GC Thread#10     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.08%  C1 CompilerThre  libjvm.so            [.] LinearScan::assign_reg_num
     0.08%  GC Thread#21     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.08%  GC Thread#20     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.08%  GC Thread#22     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.08%  GC Thread#4      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.08%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::fixup_spills
     0.07%  GC Thread#6      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.07%  GC Thread#1      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.07%  GC Thread#11     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.07%  C2 CompilerThre  libjvm.so            [.] CProjNode::is_block_proj
     0.07%  java             perf-8464.map        [.] boolean java.lang.StringCoding.hasNegatives(byte[], int, int)
     0.07%  GC Thread#11     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.07%  GC Thread#5      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.07%  GC Thread#17     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.07%  C1 CompilerThre  libjvm.so            [.] LinearScan::resolve_exception_handlers
     0.06%  GC Thread#15     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.06%  C1 CompilerThre  libjvm.so            [.] Interval::split_child_at_op_id
     0.06%  C2 CompilerThre  libjvm.so            [.] MachSpillCopyNode::implementation
     0.06%  GC Thread#12     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.06%  C1 CompilerThre  libjvm.so            [.] LinearScan::compute_local_live_sets
     0.06%  C2 CompilerThre  libjvm.so            [.] PhasePeephole::do_transform
     0.06%  GC Thread#18     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.06%  GC Thread#4      libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.06%  C2 CompilerThre  libjvm.so            [.] MachSpillCopyNode::bottom_type
     0.06%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::schedule_pinned_nodes
     0.06%  C1 CompilerThre  libjvm.so            [.] LinearScan::sort_intervals_before_allocation
     0.06%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::elide_copy
     0.06%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::build_loop_tree
     0.06%  GC Thread#15     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.05%  GC Thread#14     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.05%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::bias_color
     0.05%  GC Thread#18     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.05%  C2 CompilerThre  libjvm.so            [.] PhaseLive::add_liveout
     0.05%  C2 CompilerThre  libjvm.so            [.] NodeHash::hash_find_insert
     0.05%  C2 CompilerThre  libjvm.so            [.] Node::remove_dead_region
     0.05%  C2 CompilerThre  libpthread-2.28.so   [.] __pthread_mutex_lock
     0.05%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::raise_pressure
     0.05%  GC Thread#12     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.05%  GC Thread#0      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.05%  C1 CompilerThre  libjvm.so            [.] InstanceKlass::find_method_index
     0.05%  C1 CompilerThre  libjvm.so            [.] SubstitutionResolver::block_do
     0.05%  C2 CompilerThre  libjvm.so            [.] PhaseIterGVN::subsume_node
     0.05%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::gather_lrg_masks
     0.05%  C2 CompilerThre  libjvm.so            [.] Node_Array::insert
     0.05%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::skip_copies
     0.05%  GC Thread#17     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.05%  C2 CompilerThre  libjvm.so            [.] Node_Backward_Iterator::next
     0.05%  GC Thread#2      libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.04%  java             perf-8464.map        [.] int application.bst.TreeNode.search(int)
     0.04%  java             perf-8464.map        [.] java.lang.Object application.bst.BSTTester.lambda$queryInTree$0(java.util.concurrent.atomic.AtomicInteger, java.lang.Integer, int[])
