# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 87K of event 'LLC-load-misses'
# Event count (approx.): 55882979
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                       
# ........  ...............  ...................  .............................................................................................................................................................................
#
    14.61%  java             [kernel.kallsyms]    [k] copy_user_enhanced_fast_string
    11.68%  java             libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
    11.42%  java             [kernel.kallsyms]    [k] copy_page
     4.99%  java             perf-18936.map       [.] int application.bst.TreeNode.search(int)
     4.19%  java             libjvm.so            [.] AccessInternal::PostRuntimeDispatch<G1BarrierSet::AccessBarrier<26501190ul, G1BarrierSet>, (AccessInternal::BarrierType)8, 26501190ul>::oop_access_barrier<HeapWordImpl*>
     3.53%  java             perf-18936.map       [.] java.util.ArrayList application.bst.BSTTester.readIntergerArrayList(java.lang.String)
     2.49%  java             perf-18936.map       [.] StubRoutines (2)
     1.74%  DPU_WORK_0200    [kernel.kallsyms]    [k] __free_pages_ok
     1.22%  java             [kernel.kallsyms]    [k] get_page_from_freelist
     0.86%  GC Thread#17     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.72%  GC Thread#16     libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, oopDesc*>
     0.71%  GC Thread#3      libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, oopDesc*>
     0.69%  GC Thread#12     libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, oopDesc*>
     0.69%  GC Thread#20     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.67%  GC Thread#16     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.66%  GC Thread#4      libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, oopDesc*>
     0.66%  GC Thread#11     libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, oopDesc*>
     0.66%  GC Thread#19     libjvm.so            [.] G1ParScanThreadState::trim_queue_to_threshold
     0.64%  GC Thread#15     libjvm.so            [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, oopDesc*>
