# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'LLC-load-misses'
# Event count (approx.): 3667720
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                
# ........  ...............  ..................  ......................................................................................................................................................................................................
#
    14.62%  java             [JIT] tid 673007    [.] void application.transplant.pimtree.PIMTreeCore.generateData(int)
     8.81%  java             [JIT] tid 673007    [.] Interpreter
     5.26%  java             [JIT] tid 673007    [.] void application.transplant.pimtree.PIMExecutorComputationContext.insertKeyValue(int, int)
     4.73%  G1 Refine#0      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     2.06%  java             [unknown]           [k] 0xffffffffafe9628e
     1.66%  java             libjvm.so           [.] InstanceKlass::find_method_index
     1.41%  GC Thread#6      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     1.38%  GC Thread#5      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     1.37%  G1 Refine#1      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     1.34%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Split
     1.28%  C1 CompilerThre  libjvm.so           [.] InstanceKlass::find_method_index
     0.95%  GC Thread#4      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.82%  GC Thread#3      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.81%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::gather_lrg_masks
     0.80%  java             [JIT] tid 673007    [.] java.lang.String java.io.BufferedReader.readLine(boolean, boolean[])
     0.77%  java             [unknown]           [k] 0xffffffffafe96097
     0.76%  GC Thread#2      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.76%  C2 CompilerThre  libjvm.so           [.] InstanceKlass::find_method_index
     0.73%  GC Thread#7      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.71%  GC Thread#0      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
