# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cpu_core/LLC-load-misses/'
# Event count (approx.): 4394940
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                    
# ........  ...............  ..................  ..........................................................................................................................................................
#
     8.69%  java             [JIT] tid 693964    [.] java.lang.String java.io.BufferedReader.readLine(boolean, boolean[])
     7.37%  java             [JIT] tid 693964    [.] void application.transplant.pimtree.PIMTreeCore.generateData(int)
     5.86%  java             [JIT] tid 693964    [.] Interpreter
     3.44%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Split
     3.44%  C2 CompilerThre  libjvm.so           [.] PhaseLive::compute
     2.93%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::gather_lrg_masks
     2.54%  java             [unknown]           [k] 0xffffffff8729628e
     2.12%  java             [JIT] tid 693964    [.] void application.transplant.pimtree.PIMExecutorComputationContext.insertKeyValue(int, int)
     1.88%  C2 CompilerThre  libjvm.so           [.] IndexSetIterator::advance_and_next
     1.25%  C2 CompilerThre  libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.19%  C2 CompilerThre  libjvm.so           [.] InstanceKlass::find_method_index
     1.14%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::merge_multidefs
     1.14%  java             libjvm.so           [.] InstanceKlass::find_method_index
     1.12%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::build_ifg_physical
     1.01%  C2 CompilerThre  libjvm.so           [.] PhaseLive::add_liveout
     1.01%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::post_allocate_copy_removal
     0.98%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::is_uncommon
     0.92%  java             [unknown]           [k] 0xffffffffc17362cb
     0.78%  C1 CompilerThre  libjvm.so           [.] InstanceKlass::find_method_index
     0.75%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::interfere_with_live
     0.75%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::add_input_to_liveout
     0.72%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::schedule_local
     0.64%  java             [unknown]           [k] 0xffffffff8776d9fb
     0.61%  C2 CompilerThre  libjvm.so           [.] IndexSet::initialize
     0.58%  GC Thread#4      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.57%  C2 CompilerThre  libjvm.so           [.] Compile::identify_useful_nodes
     0.48%  C2 CompilerThre  libjvm.so           [.] Compile::remove_useless_nodes
     0.47%  java             [unknown]           [k] 0xffffffff876d7e10
     0.46%  java             [JIT] tid 693964    [.] void application.transplant.pimtree.PIMExecutorComputationContext.insertKeyValue(int, int)
     0.45%  GC Thread#0      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.45%  java             ld-2.31.so          [.] _dl_relocate_object
     0.44%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::de_ssa
     0.44%  java             [unknown]           [k] 0xffffffff876d7e30
     0.41%  C2 CompilerThre  libjvm.so           [.] IndexSet::alloc_block_containing
     0.40%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::cache_lrg_info
     0.39%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::effective_degree
     0.38%  java             [unknown]           [k] 0xffffffff87296097
     0.37%  java             libjvm.so           [.] AbstractInterpreter::method_kind
     0.36%  java             libjvm.so           [.] StringTable::do_lookup
     0.36%  java             [unknown]           [k] 0xffffffff8798c2c0
     0.36%  C2 CompilerThre  libjvm.so           [.] IndexSet::IndexSet
     0.35%  java             [unknown]           [k] 0xffffffff86fac286
     0.35%  C1 CompilerThre  [unknown]           [k] 0xffffffff86e90553
     0.35%  java             [unknown]           [k] 0xffffffffc1737890
     0.34%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::SquareUp
     0.34%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::remove_node
     0.34%  GC Thread#0      libjvm.so           [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, oopDesc*>
     0.33%  java             [unknown]           [k] 0xffffffff87784db3
     0.33%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::fixup_spills
     0.32%  java             [unknown]           [k] 0xffffffff86f1969d
     0.31%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::schedule_pinned_nodes
     0.30%  java             [unknown]           [k] 0xffffffffc01e98e9
     0.30%  C2 CompilerThre  libjvm.so           [.] MachNode::in_RegMask
     0.30%  C2 CompilerThre  libjvm.so           [.] ciObjectFactory::remove_symbols
     0.29%  C1 CompilerThre  libjvm.so           [.] nmethod::fix_oop_relocations
     0.29%  C2 CompilerThre  libjvm.so           [.] Node_Backward_Iterator::next
     0.28%  C2 CompilerThre  libjvm.so           [.] Type::cmp
     0.28%  C2 CompilerThre  libjvm.so           [.] Matcher::xform
     0.28%  java             [JIT] tid 693964    [.] I2C/C2I adapters
     0.28%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::BuildOopMaps
     0.27%  GC Thread#10     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.27%  java             [unknown]           [k] 0xffffffff87a00b40
     0.27%  C2 CompilerThre  libjvm.so           [.] Block::is_Empty
     0.26%  C2 CompilerThre  libjvm.so           [.] Dict::Insert
     0.26%  java             [unknown]           [k] 0xffffffff87784b04
     0.25%  GC Thread#2      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.25%  C2 CompilerThre  libjvm.so           [.] PhaseIterGVN::transform_old
     0.24%  java             [unknown]           [k] 0xffffffffc1770c88
     0.24%  C2 CompilerThre  libjvm.so           [.] CProjNode::is_block_proj
     0.24%  C1 CompilerThre  [unknown]           [k] 0xffffffff86e916df
     0.24%  java             [unknown]           [k] 0xffffffff86eacc12
     0.24%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::build_cfg
     0.23%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_late
     0.23%  C2 CompilerThre  libjvm.so           [.] JVMState::debug_start
     0.23%  java             libjvm.so           [.] SymbolTable::do_lookup
     0.22%  GC Thread#9      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.22%  java             [unknown]           [k] 0xffffffffc1770c31
     0.22%  C2 CompilerThre  libjvm.so           [.] __tls_get_addr@plt
     0.22%  C2 CompilerThre  libjvm.so           [.] PhaseConservativeCoalesce::copy_copy
     0.21%  C2 CompilerThre  libjvm.so           [.] PhaseAggressiveCoalesce::insert_copies
     0.21%  C2 CompilerThre  libjvm.so           [.] PhasePeephole::do_transform
     0.20%  java             [unknown]           [k] 0xffffffff87784e08
     0.20%  C2 CompilerThre  libjvm.so           [.] NodeHash::hash_find_insert
     0.19%  C2 CompilerThre  libjvm.so           [.] RegMask::is_misaligned_pair
     0.19%  java             [unknown]           [k] 0xffffffff86f4cbb1
     0.19%  C2 CompilerThre  libjvm.so           [.] Compile::final_graph_reshaping_walk
     0.19%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::raise_pressure
     0.19%  java             [unknown]           [k] 0xffffffffc01e98ca
     0.19%  C2 CompilerThre  libjvm.so           [.] loadConINode::emit
     0.18%  java             libjvm.so           [.] SymbolTable::lookup_shared
     0.18%  C2 CompilerThre  libjvm.so           [.] ciObjectFactory::get_metadata
     0.18%  C2 CompilerThre  libjvm.so           [.] RegMask::is_UP
     0.17%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Register_Allocate
     0.17%  C1 CompilerThre  libjvm.so           [.] GraphBuilder::state_at_entry
     0.17%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::gather_lrg_masks
     0.17%  C2 CompilerThre  libjvm.so           [.] Matcher::match
     0.16%  java             [JIT] tid 693964    [.] java.lang.String java.io.BufferedReader.readLine(boolean, boolean[])
     0.16%  C2 CompilerThre  libc-2.31.so        [.] memcpy@GLIBC_2.2.5
     0.16%  GC Thread#2      libjvm.so           [.] TableRateStatistics::remove
     0.16%  C1 CompilerThre  libjvm.so           [.] Dictionary::find
     0.16%  java             [unknown]           [k] 0xffffffff86d63ea9
     0.16%  C2 CompilerThre  libjvm.so           [.] Node::clone
     0.16%  C1 CompilerThre  [JIT] tid 693964    [.] flush_icache_stub
     0.16%  C2 CompilerThre  libjvm.so           [.] TypeKlassPtr::hash
     0.15%  C2 CompilerThre  libjvm.so           [.] Symbol::decrement_refcount
     0.15%  GC Thread#1      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.15%  C2 CompilerThre  libjvm.so           [.] cmpOpOper::num_edges
     0.14%  C2 CompilerThre  libjvm.so           [.] vmSymbols::find_sid
     0.14%  java             [unknown]           [k] 0xffffffff87784d9d
     0.14%  C1 CompilerThre  libjvm.so           [.] CompileBroker::invoke_compiler_on_method
     0.14%  java             [unknown]           [k] 0xffffffff8798c2fb
     0.14%  C1 CompilerThre  libjvm.so           [.] SymbolTable::lookup_shared
     0.14%  C2 CompilerThre  libjvm.so           [.] ciReceiverTypeData::translate_from
     0.14%  C2 CompilerThre  libjvm.so           [.] Node::Node
     0.14%  java             libjvm.so           [.] java_lang_Throwable::fill_in_stack_trace
     0.13%  C2 CompilerThre  libjvm.so           [.] Node::replace_by
     0.13%  GC Thread#10     [unknown]           [k] 0xffffffff87a00b40
     0.13%  C2 CompilerThre  libjvm.so           [.] storePNode::emit
     0.13%  C2 CompilerThre  libjvm.so           [.] MachProjNode::bottom_type
     0.13%  java             [unknown]           [k] 0xffffffff86d6415f
     0.12%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::stretch_base_pointer_live_ranges
     0.12%  C2 CompilerThre  libjvm.so           [.] PhaseIterGVN::PhaseIterGVN
     0.12%  C2 CompilerThre  libjvm.so           [.] MachNode::ideal_reg
     0.12%  C2 CompilerThre  libjvm.so           [.] Reflection::verify_class_access
     0.12%  java             [unknown]           [k] 0xffffffff877849f2
     0.12%  java             [unknown]           [k] 0xffffffff86fae3a2
     0.12%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::fill_buffer
     0.12%  C2 CompilerThre  libjvm.so           [.] Node::dominates
     0.12%  java             [unknown]           [k] 0xffffffff86f4cec3
     0.12%  C1 CompilerThre  libjvm.so           [.] Assembler::locate_operand
     0.12%  C2 CompilerThre  libjvm.so           [.] PhaseAggressiveCoalesce::coalesce
     0.12%  C2 CompilerThre  libjvm.so           [.] MachNode::rematerialize
     0.12%  java             libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.11%  GC Thread#2      libjvm.so           [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, oopDesc*>
     0.11%  C2 CompilerThre  libjvm.so           [.] Unique_Node_List::remove_useless_nodes
     0.11%  C2 CompilerThre  libjvm.so           [.] Node::is_block_proj
     0.11%  C1 CompilerThre  [unknown]           [k] 0xffffffff86e95407
     0.11%  C2 CompilerThre  libjvm.so           [.] Node::format
     0.11%  C2 CompilerThre  libjvm.so           [.] ciMethod::load_code
     0.11%  GC Thread#1      [unknown]           [k] 0xffffffff87a00b40
     0.11%  C2 CompilerThre  libjvm.so           [.] PhiNode::out_RegMask
     0.11%  java             [unknown]           [k] 0xffffffff86f71ed0
     0.11%  C2 CompilerThre  ld-2.31.so          [.] __tls_get_addr
     0.10%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::FillExceptionTables
     0.10%  GC Thread#1      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.10%  C2 CompilerThre  libjvm.so           [.] TypeOopPtr::TypeOopPtr
     0.10%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::replace_block_proj_ctrl
     0.10%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_early
     0.09%  C2 CompilerThre  libjvm.so           [.] TypeInstPtr::eq
     0.09%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::skip_copies
     0.09%  C2 CompilerThre  libjvm.so           [.] NodeHash::hash_delete
     0.09%  C2 CompilerThre  libc-2.31.so        [.] __memset_avx2_erms
     0.09%  C1 CompilerThre  libjvm.so           [.] LinearScan::calc_operand_for_interval
     0.09%  C2 CompilerThre  libjvm.so           [.] ciInstanceKlass::get_field_by_offset
     0.09%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::init
     0.09%  C2 CompilerThre  libjvm.so           [.] Arena::contains
     0.09%  java             libjvm.so           [.] CodeHeap::find_blob_unsafe
     0.09%  java             ld-2.31.so          [.] update_get_addr
     0.08%  C2 CompilerThre  libjvm.so           [.] TypeNode::bottom_type
     0.08%  C2 CompilerThre  libpthread-2.31.so  [.] __pthread_mutex_lock
     0.08%  java             libjvm.so           [.] CodeHeap::next_used
     0.08%  java             [unknown]           [k] 0xffffffff86c499a3
     0.08%  java             [unknown]           [k] 0xffffffff86ead880
     0.08%  RMI Scheduler(0  libjvm.so           [.] InstanceKlass::find_method_index
     0.08%  java             libjvm.so           [.] InstanceKlass::do_local_static_fields
     0.08%  C2 CompilerThre  libjvm.so           [.] ResourceObj::operator new
     0.08%  C2 CompilerThre  libjvm.so           [.] Matcher::Label_Root
     0.08%  C2 CompilerThre  libjvm.so           [.] ciMethodBlocks::do_analysis
     0.08%  C2 CompilerThre  libjvm.so           [.] TypeInstPtr::hash
     0.08%  C2 CompilerThre  libjvm.so           [.] loadPNode::oper_input_base
     0.08%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::remove_node_if_not_used
     0.08%  C2 CompilerThre  libjvm.so           [.] RegMask::Size
     0.08%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::eliminate_copy_of_constant
     0.08%  GC Thread#10     [unknown]           [k] 0xffffffff86f196d4
     0.08%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::lower_pressure
     0.07%  C2 CompilerThre  libjvm.so           [.] Node::is_dead_loop_safe
     0.07%  C2 CompilerThre  libjvm.so           [.] PhaseLive::add_liveout
