# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'LLC-load-misses'
# Event count (approx.): 3826664
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                      
# ........  ...............  ..................  ............................................................................................................................................................
#
    13.17%  java             [JIT] tid 672101    [.] void application.transplant.pimtree.PIMTreeCore.generateData(int)
     9.10%  java             [JIT] tid 672101    [.] Interpreter
     5.03%  java             [JIT] tid 672101    [.] void application.transplant.pimtree.PIMExecutorComputationContext.insertKeyValue(int, int)
     4.59%  G1 Refine#0      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     1.82%  java             [unknown]           [k] 0xffffffffafe9628e
     1.36%  G1 Conc#1        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     1.36%  G1 Conc#0        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     1.36%  java             libjvm.so           [.] InstanceKlass::find_method_index
     1.30%  G1 Refine#1      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     1.19%  C1 CompilerThre  libjvm.so           [.] InstanceKlass::find_method_index
     1.18%  C2 CompilerThre  libjvm.so           [.] InstanceKlass::find_method_index
     0.93%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Split
     0.92%  GC Thread#4      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.92%  GC Thread#1      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.90%  GC Thread#6      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.89%  GC Thread#2      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.89%  java             libjvm.so           [.] G1SATBMarkQueueSet::filter
     0.85%  GC Thread#7      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.79%  GC Thread#5      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.71%  GC Thread#3      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.69%  G1 Conc#0        libjvm.so           [.] G1ConcurrentMark::mark_in_next_bitmap
     0.68%  java             [unknown]           [k] 0xffffffffafe96097
     0.63%  C2 CompilerThre  libjvm.so           [.] Compile::identify_useful_nodes
     0.62%  java             [JIT] tid 672101    [.] void application.transplant.pimtree.PIMExecutorComputationContext.insertKeyValue(int, int)
     0.59%  GC Thread#0      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.59%  java             libjvm.so           [.] SymbolTable::lookup_shared
     0.59%  java             [JIT] tid 672101    [.] java.lang.String java.io.BufferedReader.readLine(boolean, boolean[])
     0.57%  G1 Conc#1        libjvm.so           [.] G1ConcurrentMark::mark_in_next_bitmap
     0.55%  G1 Refine#2      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.55%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::gather_lrg_masks
     0.54%  java             libjvm.so           [.] SymbolTable::do_lookup
     0.47%  C2 CompilerThre  libjvm.so           [.] IndexSet::initialize
     0.43%  C2 CompilerThre  libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.39%  C2 CompilerThre  libjvm.so           [.] PhaseLive::compute
     0.39%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::post_allocate_copy_removal
     0.38%  C2 CompilerThre  libjvm.so           [.] IndexSetIterator::advance_and_next
     0.37%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::merge_multidefs
     0.35%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.33%  java             [JIT] tid 672101    [.] java.lang.String java.io.BufferedReader.readLine()
     0.31%  C2 CompilerThre  libjvm.so           [.] ciObjectFactory::get_metadata
     0.30%  java             [unknown]           [k] 0xffffffffb0384c21
     0.28%  java             [JIT] tid 672101    [.] java.lang.String java.io.BufferedReader.readLine()
     0.27%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::interfere_with_live
     0.27%  GC Thread#4      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.26%  GC Thread#1      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.26%  C2 CompilerThre  libjvm.so           [.] Symbol::decrement_refcount
     0.25%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::is_uncommon
     0.25%  java             [JIT] tid 672101    [.] java.lang.String java.io.BufferedReader.readLine(boolean, boolean[])
     0.25%  C2 CompilerThre  libjvm.so           [.] Compile::remove_useless_nodes
     0.24%  java             [JIT] tid 672101    [.] I2C/C2I adapters
     0.24%  C2 CompilerThre  libjvm.so           [.] MachNode::bottom_type
     0.24%  C1 CompilerThre  [unknown]           [k] 0xffffffffafb5031f
     0.24%  C1 CompilerThre  [JIT] tid 672101    [.] flush_icache_stub
     0.23%  java             [unknown]           [k] 0xffffffffafaacc12
     0.23%  java             [JIT] tid 672101    [.] g1_post_barrier_slow
     0.22%  C2 CompilerThre  libjvm.so           [.] IndexSet::alloc_block_containing
     0.22%  C2 CompilerThre  libjvm.so           [.] ciObjectFactory::remove_symbols
     0.21%  GC Thread#1      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.21%  java             [unknown]           [k] 0xffffffffb058c2fb
     0.21%  C2 CompilerThre  libjvm.so           [.] RegMask::is_misaligned_pair
     0.20%  java             [unknown]           [k] 0xffffffffc1422d25
     0.20%  C2 CompilerThre  libjvm.so           [.] InstanceKlass::find_local_field
     0.19%  G1 Refine#5      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.19%  C2 CompilerThre  libjvm.so           [.] vmSymbols::find_sid
     0.19%  java             [unknown]           [k] 0xffffffffafb4cec3
     0.18%  C2 CompilerThre  libjvm.so           [.] State::MachOperGenerator
     0.18%  java             libjvm.so           [.] ClassFileParser::parse_constant_pool_entries
     0.18%  C2 CompilerThre  libjvm.so           [.] PhasePeephole::do_transform
     0.17%  java             [unknown]           [k] 0xffffffffafe32827
     0.17%  java             [unknown]           [k] 0xffffffffc13f72bb
     0.17%  java             [unknown]           [k] 0xffffffffc13f72cb
     0.17%  java             libjvm.so           [.] java_lang_Throwable::fill_in_stack_trace
     0.16%  GC Thread#7      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.16%  java             [unknown]           [k] 0xffffffffafe993fb
     0.16%  C2 CompilerThre  ld-2.31.so          [.] __tls_get_addr
     0.16%  G1 Refine#3      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.16%  G1 Refine#4      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.16%  C1 CompilerThre  libjvm.so           [.] InstanceKlass::find_local_field
     0.15%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::cache_lrg_info
     0.14%  C1 CompilerThre  libjvm.so           [.] vmSymbols::find_sid
     0.14%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::fixup_spills
     0.14%  C2 CompilerThre  libjvm.so           [.] PhaseIterGVN::transform_old
     0.14%  java             libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.14%  C1 CompilerThre  libjvm.so           [.] ciObjectFactory::get_metadata
     0.14%  C2 CompilerThre  libjvm.so           [.] JVMState::debug_start
     0.14%  java             [unknown]           [k] 0xffffffffb058c2c0
     0.14%  java             libjvm.so           [.] AdapterHandlerLibrary::get_simple_adapter
     0.14%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::build_ifg_physical
     0.14%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::SquareUp
     0.14%  java             [unknown]           [k] 0xffffffffc1422c31
     0.13%  C2 CompilerThre  libjvm.so           [.] Dict::Insert
     0.13%  G1 Refine#7      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.13%  G1 Refine#6      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.13%  C2 CompilerThre  libjvm.so           [.] PhaseConservativeCoalesce::coalesce
     0.13%  GC Thread#1      libjvm.so           [.] WeakProcessor::Task::work<G1STWIsAliveClosure, G1KeepAliveClosure>
     0.13%  GC Thread#0      libjvm.so           [.] G1ParCopyClosure<(G1Barrier)1, false>::do_oop
     0.13%  C2 CompilerThre  libjvm.so           [.] PhaseLive::add_liveout
     0.13%  GC Thread#5      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.12%  GC Thread#3      libjvm.so           [.] G1ParCopyClosure<(G1Barrier)1, false>::do_oop
     0.12%  C2 CompilerThre  libjvm.so           [.] Unique_Node_List::remove_useless_nodes
     0.12%  VM Thread        libjvm.so           [.] nmethod::oops_do_marking_epilogue
     0.12%  Sweeper thread   [unknown]           [k] 0xffffffffafb0c1f1
     0.12%  C2 CompilerThre  libjvm.so           [.] Node::replace_by
     0.12%  C1 CompilerThre  libjvm.so           [.] Klass::subklass
     0.11%  java             [unknown]           [k] 0xffffffffb0384dd0
     0.11%  VM Thread        [unknown]           [k] 0xffffffffaf98acd0
     0.11%  C1 CompilerThre  libjvm.so           [.] Symbol::print_symbol_on
     0.11%  G1 Conc#1        libjvm.so           [.] G1CMTask::make_reference_grey
     0.11%  RMI RenewClean-  libjvm.so           [.] SymbolTable::do_lookup
     0.11%  GC Thread#5      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.11%  G1 Conc#0        libjvm.so           [.] G1CMTask::make_reference_grey
     0.11%  GC Thread#0      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.11%  java             libjvm.so           [.] SymbolTable::lookup_only
     0.11%  java             [unknown]           [k] 0xffffffffb036d9e0
     0.11%  C2 CompilerThre  libjvm.so           [.] Type::cmp
     0.11%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::re_insert
     0.11%  C1 CompilerThre  libjvm.so           [.] Metadata::is_methodData
     0.11%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.10%  C2 CompilerThre  libjvm.so           [.] Matcher::xform
     0.10%  Sweeper thread   [unknown]           [k] 0xffffffffafb263d0
     0.10%  VM Periodic Tas  libjvm.so           [.] Mutex::lock_without_safepoint_check
     0.10%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Register_Allocate
     0.10%  VM Thread        libc-2.31.so        [.] __strncpy_avx2
     0.10%  GC Thread#7      libjvm.so           [.] WeakProcessor::Task::work<G1STWIsAliveClosure, G1KeepAliveClosure>
     0.10%  GC Thread#5      libjvm.so           [.] WeakProcessor::Task::work<G1STWIsAliveClosure, G1KeepAliveClosure>
     0.10%  java             [unknown]           [k] 0xffffffffb0384dbe
     0.10%  C2 CompilerThre  libjvm.so           [.] Block::has_uncommon_code
     0.10%  C2 CompilerThre  libpthread-2.31.so  [.] __pthread_mutex_lock
     0.10%  java             [unknown]           [k] 0xffffffffafb4cbb1
     0.09%  C2 CompilerThre  libjvm.so           [.] IndexSet::IndexSet
     0.09%  GC Thread#7      [unknown]           [k] 0xffffffffb0578d9e
     0.09%  java             [unknown]           [k] 0xffffffffafe96290
     0.09%  java             ld-2.31.so          [.] __tls_get_addr
     0.09%  C2 CompilerThre  libjvm.so           [.] RegionNode::is_unreachable_from_root
     0.09%  C1 CompilerThre  libjvm.so           [.] LinkResolver::resolve_method
     0.09%  GC Thread#6      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.09%  java             [unknown]           [k] 0xffffffffb0600b40
     0.09%  java             [unknown]           [k] 0xffffffffafb50c0b
     0.09%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::add_input_to_liveout
     0.09%  GC Thread#3      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.09%  java             libjimage.so        [.] ImageLocation::set_data
     0.09%  java             [JIT] tid 672101    [.] I2C/C2I adapters
     0.09%  java             [unknown]           [k] 0xffffffffafb8beff
     0.09%  C2 CompilerThre  libjvm.so           [.] CounterData::cell_count
     0.09%  C2 CompilerThre  libjvm.so           [.] MachCallJavaNode::in_RegMask
     0.09%  java             [unknown]           [k] 0xffffffffb036d9f8
     0.09%  java             [unknown]           [k] 0xffffffffb03aa74e
     0.08%  C2 CompilerThre  libjvm.so           [.] Node::set_req_X
     0.08%  java             libjvm.so           [.] StringTable::do_lookup
     0.08%  GC Thread#6      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.08%  C2 CompilerThre  libjvm.so           [.] ProjNode::bottom_type
     0.08%  GC Thread#6      libjvm.so           [.] G1BlockOffsetTablePart::forward_to_block_containing_addr_slow
     0.08%  C1 CompilerThre  libjvm.so           [.] SymbolTable::do_lookup
     0.08%  Logging-Cleaner  libjvm.so           [.] InstanceKlass::find_method_index
     0.08%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_late
     0.08%  GC Thread#2      libjvm.so           [.] G1ParScanThreadState::steal_and_trim_queue
     0.08%  C1 CompilerThre  libjvm.so           [.] MethodData::compute_data_size
     0.08%  C2 CompilerThre  libjvm.so           [.] NodeHash::hash_find_insert
     0.08%  java             [unknown]           [k] 0xffffffffaf9ab559
     0.08%  java             libjvm.so           [.] InstanceKlass::is_same_class_package
     0.08%  java             libjvm.so           [.] _GLOBAL__sub_I_arguments.cpp
     0.08%  java             libjvm.so           [.] JVM_LatestUserDefinedLoader
     0.07%  Sweeper thread   [unknown]           [k] 0xffffffffafb0c221
     0.07%  C1 CompilerThre  [unknown]           [k] 0xffffffffafdcce4b
     0.07%  C2 CompilerThre  libjvm.so           [.] OopFlow::compute_reach
     0.07%  C2 CompilerThre  libjvm.so           [.] Node_Backward_Iterator::next
     0.07%  C2 CompilerThre  libjvm.so           [.] CreateExNode::Opcode
     0.07%  java             [unknown]           [k] 0xffffffffafa9af58
     0.07%  C2 CompilerThre  libc-2.31.so        [.] memcpy@GLIBC_2.2.5
     0.07%  G1 Conc#0        libjvm.so           [.] G1RebuildRemSetTask::G1RebuildRemSetHeapRegionClosure::do_heap_region
     0.07%  Sweeper thread   [unknown]           [k] 0xffffffffafb26403
     0.07%  java             libjvm.so           [.] CodeHeap::find_blob_unsafe
     0.07%  C2 CompilerThre  libjvm.so           [.] ConstantPool::impl_klass_ref_index_at
     0.07%  C2 CompilerThre  libjvm.so           [.] Arena::contains
     0.07%  C1 CompilerThre  libjvm.so           [.] Universe::null_ptr_exception_instance
     0.07%  GC Thread#2      libc-2.31.so        [.] _int_free
     0.07%  GC Thread#3      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.07%  GC Thread#3      [unknown]           [k] 0xffffffffb0600b40
     0.07%  VM Thread        libjvm.so           [.] OopStorage::allocation_count
     0.07%  java             libjvm.so           [.] LinkResolver::check_method_accessability
     0.07%  C1 CompilerThre  libjvm.so           [.] LinkedConcreteMethodFinder::find_witness_anywhere
     0.07%  GC Thread#0      libjvm.so           [.] G1CLDScanClosure::do_cld
     0.07%  C2 CompilerThre  libjvm.so           [.] Node::is_block_proj
     0.07%  java             [unknown]           [k] 0xffffffffafb1969d
     0.07%  java             libjvm.so           [.] InstanceKlass::lookup_method_in_all_interfaces
