# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cpu_core/LLC-load-misses/'
# Event count (approx.): 3418512
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                      
# ........  ...............  ..................  ............................................................................................................................................................
#
    10.61%  java             [JIT] tid 691669    [.] java.lang.String java.io.BufferedReader.readLine(boolean, boolean[])
     9.65%  java             [JIT] tid 691669    [.] void application.transplant.pimtree.PIMTreeCore.generateData(int)
     6.06%  java             [JIT] tid 691669    [.] Interpreter
     3.55%  java             [unknown]           [k] 0xffffffff8729628e
     3.37%  java             [JIT] tid 691669    [.] void application.transplant.pimtree.PIMExecutorComputationContext.insertKeyValue(int, int)
     2.11%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::gather_lrg_masks
     2.09%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Split
     1.85%  C2 CompilerThre  libjvm.so           [.] PhaseLive::compute
     1.53%  java             [unknown]           [k] 0xffffffff87296097
     1.42%  java             libjvm.so           [.] InstanceKlass::find_method_index
     1.10%  C2 CompilerThre  libjvm.so           [.] InstanceKlass::find_method_index
     1.07%  java             [unknown]           [k] 0xffffffffc1737890
     1.00%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::merge_multidefs
     0.90%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::post_allocate_copy_removal
     0.83%  java             [unknown]           [k] 0xffffffffc17362cb
     0.83%  java             [unknown]           [k] 0xffffffff87784db3
     0.83%  java             [JIT] tid 691669    [.] void application.transplant.pimtree.PIMExecutorComputationContext.insertKeyValue(int, int)
     0.76%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::is_uncommon
     0.72%  C2 CompilerThre  libjvm.so           [.] IndexSetIterator::advance_and_next
     0.70%  C2 CompilerThre  libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.66%  C2 CompilerThre  libjvm.so           [.] Compile::identify_useful_nodes
     0.62%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::build_ifg_physical
     0.51%  java             [unknown]           [k] 0xffffffff8776d9fb
     0.51%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::interfere_with_live
     0.50%  C2 CompilerThre  libjvm.so           [.] IndexSet::IndexSet
     0.50%  GC Thread#10     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.49%  java             [unknown]           [k] 0xffffffff876d7e10
     0.49%  GC Thread#11     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.48%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::remove_node
     0.48%  java             [unknown]           [k] 0xffffffff8798c2c0
     0.48%  java             [unknown]           [k] 0xffffffff87784d9d
     0.47%  C2 CompilerThre  libjvm.so           [.] Compile::remove_useless_nodes
