# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cpu_core/LLC-load-misses/'
# Event count (approx.): 3078171
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                       
# ........  ...............  ..................  .............................................................................................................................................................................
#
    11.00%  java             [JIT] tid 692803    [.] void application.transplant.pimtree.PIMTreeCore.generateData(int)
     8.54%  java             [JIT] tid 692803    [.] java.lang.String java.io.BufferedReader.readLine(boolean, boolean[])
     7.20%  java             [JIT] tid 692803    [.] Interpreter
     3.83%  java             [unknown]           [k] 0xffffffff8729628e
     3.05%  java             [JIT] tid 692803    [.] void application.transplant.pimtree.PIMExecutorComputationContext.insertKeyValue(int, int)
     2.07%  java             ld-2.31.so          [.] _dl_relocate_object
     1.38%  java             libjvm.so           [.] InstanceKlass::find_method_index
     1.36%  C2 CompilerThre  libjvm.so           [.] InstanceKlass::find_method_index
     1.32%  GC Thread#1      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.29%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Split
     1.16%  java             [unknown]           [k] 0xffffffff8798c2c0
     1.11%  C2 CompilerThre  [unknown]           [k] 0xffffffff86f263d9
     1.00%  java             [unknown]           [k] 0xffffffffc17362cb
     1.00%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::gather_lrg_masks
     0.98%  java             libjvm.so           [.] ArgumentSizeComputer::ArgumentSizeComputer
     0.80%  C1 CompilerThre  libjvm.so           [.] InstanceKlass::find_method_index
     0.76%  java             [unknown]           [k] 0xffffffffc01e98ca
     0.72%  java             [unknown]           [k] 0xffffffff8776d9fb
     0.71%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::post_allocate_copy_removal
     0.66%  C2 CompilerThre  libjvm.so           [.] PhaseLive::compute
     0.64%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::merge_multidefs
     0.64%  java             [unknown]           [k] 0xffffffff876d7e30
     0.59%  java             [unknown]           [k] 0xffffffff876d7e10
     0.59%  C1 CompilerThre  libjvm.so           [.] Dictionary::find
     0.56%  GC Thread#9      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.55%  java             [unknown]           [k] 0xffffffff86f8beff
     0.54%  java             [unknown]           [k] 0xffffffffc1734135
     0.53%  java             [unknown]           [k] 0xffffffff87296097
     0.50%  C2 CompilerThre  libjvm.so           [.] Symbol::decrement_refcount
     0.48%  GC Thread#3      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.47%  G1 Refine#0      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.45%  GC Thread#4      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.45%  java             [unknown]           [k] 0xffffffffc1770c88
     0.44%  java             [unknown]           [k] 0xffffffff87784db3
     0.42%  GC Thread#6      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.42%  java             libjvm.so           [.] InstanceKlass::do_local_static_fields
     0.41%  java             [unknown]           [k] 0xffffffff86f1969d
     0.41%  java             libjvm.so           [.] SymbolTable::lookup_shared
     0.40%  G1 Refine#0      libjvm.so           [.] G1RemSet::refine_card_concurrently
     0.39%  java             [unknown]           [k] 0xffffffffc1737890
     0.37%  java             [unknown]           [k] 0xffffffff86d63ea9
     0.37%  java             [unknown]           [k] 0xffffffff86ef5ced
     0.37%  C1 CompilerThre  libjvm.so           [.] ciVirtualCallData::translate_from
     0.36%  java             ld-2.31.so          [.] dl_main
     0.36%  java             [JIT] tid 692803    [.] java.lang.String java.io.BufferedReader.readLine(boolean, boolean[])
     0.36%  java             [unknown]           [k] 0xffffffff87a00b40
     0.36%  C2 CompilerThre  libjvm.so           [.] IndexSetIterator::advance_and_next
     0.35%  C2 CompilerThre  libjvm.so           [.] ciTypeFlow::flow_successors
     0.35%  java             [JIT] tid 692803    [.] void application.transplant.pimtree.PIMExecutorComputationContext.insertKeyValue(int, int)
     0.35%  java             [unknown]           [k] 0xffffffff87289263
     0.35%  C2 CompilerThre  [unknown]           [k] 0xffffffff86f68340
     0.33%  GC Thread#11     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.33%  GC Thread#11     libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.32%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::interfere_with_live
     0.31%  GC Thread#9      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.31%  GC Thread#11     libjvm.so           [.] RelocIterator::initialize
     0.31%  GC Thread#9      libjvm.so           [.] OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, oopDesc*>
     0.30%  java             [unknown]           [k] 0xffffffffc1770c31
     0.30%  java             libjvm.so           [.] SymbolTable::do_lookup
     0.29%  GC Thread#5      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
