# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 160K of event 'cpu_core/LLC-load-misses/'
# Event count (approx.): 428871948
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                                       
# ........  ...............  ..................  .............................................................................................................................................................................................................................
#
    32.46%  java             [JIT] tid 698005    [.] void java.util.stream.AbstractPipeline.copyInto(java.util.stream.Sink, java.util.Spliterator)
    18.82%  G1 Refine#0      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     4.01%  G1 Conc#4        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     3.96%  G1 Conc#3        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     3.95%  G1 Conc#0        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     3.86%  G1 Conc#2        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     3.82%  G1 Conc#1        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     2.91%  java             [JIT] tid 698005    [.] void application.transplant.pimtree.pim_skip_list.get()
     2.36%  java             [JIT] tid 698005    [.] void java.util.Spliterators$ArraySpliterator.forEachRemaining(java.util.function.Consumer)
     1.77%  G1 Refine#1      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     1.54%  G1 Refine#0      libjvm.so           [.] G1RemSet::refine_card_concurrently
     0.98%  G1 Refine#2      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.78%  G1 Conc#0        libjvm.so           [.] G1RebuildRemSetClosure::do_oop_work<oopDesc*>
     0.77%  G1 Conc#4        libjvm.so           [.] G1RebuildRemSetClosure::do_oop_work<oopDesc*>
     0.69%  G1 Conc#2        libjvm.so           [.] G1RebuildRemSetClosure::do_oop_work<oopDesc*>
     0.65%  G1 Conc#3        libjvm.so           [.] G1RebuildRemSetClosure::do_oop_work<oopDesc*>
     0.56%  java             [JIT] tid 698005    [.] void application.transplant.pimtree.PIMTreeCore.generateData(int)
     0.55%  G1 Conc#1        libjvm.so           [.] G1RebuildRemSetClosure::do_oop_work<oopDesc*>
     0.37%  G1 Refine#0      libjvm.so           [.] G1DirtyCardQueueSet::refine_buffer
     0.31%  GC Thread#4      libjvm.so           [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.30%  GC Thread#13     libjvm.so           [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.29%  GC Thread#12     libjvm.so           [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.28%  GC Thread#16     libjvm.so           [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.26%  G1 Conc#4        libjvm.so           [.] G1CMTask::do_marking_step
     0.26%  GC Thread#1      libjvm.so           [.] G1ScanCardClosure::do_oop_work<oopDesc*>
