# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'LLC-load-misses'
# Event count (approx.): 12534571
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                
# ........  ...............  ..................  ......................................................................................................................................................................................................
#
     6.19%  C2 CompilerThre  libjvm.so           [.] IndexSetIterator::advance_and_next
     6.05%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Split
     5.51%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::remove_node
     4.13%  java             [JIT] tid 672780    [.] Interpreter
     3.17%  C2 CompilerThre  libjvm.so           [.] PhaseLive::compute
     2.65%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::interfere_with_live
     2.51%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::effective_degree
     2.36%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::SquareUp
     2.34%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::gather_lrg_masks
     1.85%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::cache_lrg_info
     1.54%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::build_ifg_physical
     1.50%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::re_insert
     1.38%  C2 CompilerThre  libjvm.so           [.] Compile::identify_useful_nodes
     1.26%  C2 CompilerThre  libjvm.so           [.] IndexSet::alloc_block_containing
     1.16%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::merge_multidefs
     1.09%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::post_allocate_copy_removal
     0.85%  C2 CompilerThre  libjvm.so           [.] InstanceKlass::find_method_index
     0.84%  C2 CompilerThre  libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.76%  C2 CompilerThre  libjvm.so           [.] IndexSet::initialize
     0.73%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::add_input_to_liveout
     0.72%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::is_uncommon
     0.68%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Select
     0.67%  java             libjvm.so           [.] InstanceKlass::find_method_index
     0.66%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Register_Allocate
     0.64%  C2 CompilerThre  libjvm.so           [.] PhaseLive::add_liveout
     0.63%  C1 CompilerThre  libjvm.so           [.] InstanceKlass::find_method_index
     0.63%  C2 CompilerThre  libjvm.so           [.] IndexSet::IndexSet
     0.58%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::fixup_spills
     0.55%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::BuildOopMaps
     0.53%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_late
     0.51%  C2 CompilerThre  libjvm.so           [.] PhaseConservativeCoalesce::update_ifg
     0.47%  java             [unknown]           [k] 0xffffffffafe9628e
     0.44%  C2 CompilerThre  libjvm.so           [.] CProjNode::is_block_proj
     0.41%  C1 CompilerThre  libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.40%  C2 CompilerThre  libjvm.so           [.] Node::is_block_proj
