# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cpu_core/LLC-load-misses/'
# Event count (approx.): 18231980
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                
# ........  ...............  ..................  ......................................................................................................................................................................................................
#
     6.84%  C2 CompilerThre  libjvm.so           [.] IndexSetIterator::advance_and_next
     6.49%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::remove_node
     6.31%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Split
     4.89%  C2 CompilerThre  libjvm.so           [.] PhaseLive::compute
     3.79%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::gather_lrg_masks
     3.12%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::effective_degree
     2.80%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::interfere_with_live
     2.73%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::SquareUp
     1.94%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::re_insert
     1.67%  java             [JIT] tid 693596    [.] java.io.ObjectOutput sun.rmi.transport.StreamRemoteCall.getOutputStream(boolean)
     1.64%  java             [JIT] tid 693596    [.] Interpreter
     1.62%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::build_ifg_physical
     1.61%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::merge_multidefs
     1.47%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::cache_lrg_info
     1.39%  C2 CompilerThre  libjvm.so           [.] IndexSet::alloc_block_containing
     1.32%  C2 CompilerThre  libjvm.so           [.] PhaseConservativeCoalesce::update_ifg
     1.31%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::post_allocate_copy_removal
     1.12%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::add_input_to_liveout
     1.05%  C2 CompilerThre  libjvm.so           [.] PhaseLive::add_liveout
     0.96%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Select
     0.95%  C2 CompilerThre  libjvm.so           [.] IndexSet::IndexSet
     0.81%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::is_uncommon
     0.80%  java             [unknown]           [k] 0xffffffff8729628e
     0.67%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::BuildOopMaps
     0.65%  C2 CompilerThre  libjvm.so           [.] IndexSet::initialize
     0.63%  C2 CompilerThre  libjvm.so           [.] Compile::identify_useful_nodes
     0.61%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Register_Allocate
     0.61%  C2 CompilerThre  libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.61%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::fixup_spills
     0.61%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_late
     0.60%  C2 CompilerThre  libjvm.so           [.] RegMask::is_UP
     0.54%  C2 CompilerThre  libjvm.so           [.] InstanceKlass::find_method_index
     0.48%  C2 CompilerThre  libjvm.so           [.] Node::replace_by
     0.46%  C2 CompilerThre  libjvm.so           [.] JVMState::debug_start
     0.39%  java             libjvm.so           [.] InstanceKlass::find_method_index
     0.38%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::schedule_local
     0.34%  C2 CompilerThre  libjvm.so           [.] PhasePeephole::do_transform
     0.34%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Simplify
     0.32%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::fill_buffer
