# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cpu_core/LLC-load-misses/'
# Event count (approx.): 19258918
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                    
# ........  ...............  ..................  ..........................................................................................................................................................................................
#
     7.53%  C2 CompilerThre  libjvm.so           [.] IndexSetIterator::advance_and_next
     7.29%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::remove_node
     6.33%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Split
     4.56%  C2 CompilerThre  libjvm.so           [.] PhaseLive::compute
     3.61%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::effective_degree
     3.54%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::gather_lrg_masks
     2.87%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::interfere_with_live
     2.86%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::SquareUp
     2.44%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::re_insert
     2.09%  java             [JIT] tid 691302    [.] java.io.ObjectOutput sun.rmi.transport.StreamRemoteCall.getOutputStream(boolean)
     1.78%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::build_ifg_physical
     1.70%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::cache_lrg_info
     1.70%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::merge_multidefs
     1.66%  C2 CompilerThre  libjvm.so           [.] IndexSet::alloc_block_containing
     1.35%  C2 CompilerThre  libjvm.so           [.] PhaseConservativeCoalesce::update_ifg
     1.32%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::add_input_to_liveout
     1.31%  java             [JIT] tid 691302    [.] Interpreter
     1.30%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::post_allocate_copy_removal
     1.23%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Select
     0.98%  C2 CompilerThre  libjvm.so           [.] PhaseLive::add_liveout
     0.92%  C2 CompilerThre  libjvm.so           [.] IndexSet::IndexSet
     0.78%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Register_Allocate
     0.68%  C2 CompilerThre  libjvm.so           [.] Compile::identify_useful_nodes
     0.66%  C2 CompilerThre  libjvm.so           [.] RegMask::is_UP
     0.66%  java             [unknown]           [k] 0xffffffff8729628e
     0.64%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::fixup_spills
     0.58%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::BuildOopMaps
     0.55%  C2 CompilerThre  libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.54%  C2 CompilerThre  libjvm.so           [.] IndexSet::initialize
     0.53%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::is_uncommon
     0.50%  C2 CompilerThre  libjvm.so           [.] InstanceKlass::find_method_index
     0.48%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_late
     0.44%  C2 CompilerThre  libjvm.so           [.] JVMState::debug_start
     0.41%  C2 CompilerThre  libjvm.so           [.] Node::replace_by
     0.36%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::schedule_local
     0.35%  C2 CompilerThre  libjvm.so           [.] __tls_get_addr@plt
     0.35%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::fill_buffer
     0.34%  C1 CompilerThre  libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.34%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Simplify
     0.32%  C2 CompilerThre  libjvm.so           [.] CProjNode::is_block_proj
     0.31%  C2 CompilerThre  libjvm.so           [.] PhaseAggressiveCoalesce::insert_copies
     0.29%  C2 CompilerThre  libjvm.so           [.] OopFlow::compute_reach
     0.29%  C2 CompilerThre  libjvm.so           [.] IndexSet::lrg_union
     0.29%  java             libjvm.so           [.] InstanceKlass::find_method_index
     0.27%  C1 CompilerThre  libjvm.so           [.] InstanceKlass::find_method_index
     0.26%  C2 CompilerThre  libjvm.so           [.] Compile::remove_useless_nodes
     0.26%  C2 CompilerThre  libjvm.so           [.] IndexSet::initialize
     0.26%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_early
     0.25%  C2 CompilerThre  libjvm.so           [.] Node::is_block_proj
     0.23%  C2 CompilerThre  ld-2.31.so          [.] __tls_get_addr
     0.23%  C2 CompilerThre  libjvm.so           [.] RegMask::is_misaligned_pair
     0.23%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_tree
     0.22%  C2 CompilerThre  libjvm.so           [.] Type::cmp
     0.22%  C2 CompilerThre  libjvm.so           [.] PhaseIterGVN::transform_old
     0.21%  C2 CompilerThre  libjvm.so           [.] PhasePeephole::do_transform
     0.21%  C2 CompilerThre  libjvm.so           [.] NodeHash::hash_find_insert
     0.21%  C2 CompilerThre  libjvm.so           [.] MachNode::rematerialize
     0.20%  C2 CompilerThre  libjvm.so           [.] Symbol::decrement_refcount
     0.20%  C1 CompilerThre  libjvm.so           [.] LinearScan::eliminate_spill_moves
     0.20%  C2 CompilerThre  libjvm.so           [.] Node::remove_dead_region
     0.19%  GC Thread#7      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.19%  C2 CompilerThre  libjvm.so           [.] Matcher::xform
     0.19%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::de_ssa
     0.19%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::schedule_pinned_nodes
     0.19%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::split_if_with_blocks
     0.18%  C1 CompilerThre  libjvm.so           [.] BitMap::set_difference
     0.18%  C1 CompilerThre  libjvm.so           [.] LinearScan::build_intervals
     0.17%  java             [unknown]           [k] 0xffffffff87296097
     0.17%  GC Thread#4      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.17%  C2 CompilerThre  libc-2.31.so        [.] memcpy@GLIBC_2.2.5
     0.17%  C2 CompilerThre  libjvm.so           [.] MachSpillCopyNode::implementation
     0.17%  C2 CompilerThre  libjvm.so           [.] Block::has_uncommon_code
     0.17%  C2 CompilerThre  [unknown]           [k] 0xffffffff86e96678
     0.16%  C2 CompilerThre  libjvm.so           [.] NTarjan::DFS
     0.16%  GC Thread#0      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.16%  C2 CompilerThre  libjvm.so           [.] PhaseLive::add_liveout
