# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'LLC-load-misses'
# Event count (approx.): 11683312
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                    
# ........  ...............  ..................  ..........................................................................................................................................................................................
#
     5.77%  C2 CompilerThre  libjvm.so           [.] IndexSetIterator::advance_and_next
     5.70%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Split
     5.66%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::remove_node
     4.09%  java             [JIT] tid 672323    [.] Interpreter
     2.97%  C2 CompilerThre  libjvm.so           [.] PhaseLive::compute
     2.65%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::effective_degree
     2.37%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::interfere_with_live
     2.31%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::gather_lrg_masks
     2.03%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::SquareUp
     1.79%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::cache_lrg_info
     1.40%  C2 CompilerThre  libjvm.so           [.] IndexSet::alloc_block_containing
     1.38%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::re_insert
     1.33%  C2 CompilerThre  libjvm.so           [.] Compile::identify_useful_nodes
     1.31%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::build_ifg_physical
     1.16%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::post_allocate_copy_removal
     1.13%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::merge_multidefs
     0.87%  C2 CompilerThre  libjvm.so           [.] InstanceKlass::find_method_index
     0.84%  C2 CompilerThre  libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.82%  java             libjvm.so           [.] InstanceKlass::find_method_index
     0.77%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::is_uncommon
     0.76%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_late
     0.76%  C2 CompilerThre  libjvm.so           [.] PhaseConservativeCoalesce::update_ifg
     0.75%  C2 CompilerThre  libjvm.so           [.] PhaseLive::add_liveout
     0.74%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::add_input_to_liveout
     0.71%  C1 CompilerThre  libjvm.so           [.] InstanceKlass::find_method_index
     0.68%  C2 CompilerThre  libjvm.so           [.] IndexSet::IndexSet
     0.62%  java             [unknown]           [k] 0xffffffffafe9628e
     0.61%  C2 CompilerThre  libjvm.so           [.] IndexSet::initialize
     0.57%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::fixup_spills
     0.53%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Select
     0.46%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Register_Allocate
     0.46%  C2 CompilerThre  ld-2.31.so          [.] __tls_get_addr
     0.45%  C2 CompilerThre  libjvm.so           [.] CProjNode::is_block_proj
     0.43%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::build_loop_tree
     0.41%  C2 CompilerThre  libjvm.so           [.] JVMState::debug_start
     0.39%  C2 CompilerThre  libjvm.so           [.] PhaseAggressiveCoalesce::insert_copies
     0.37%  C2 CompilerThre  libjvm.so           [.] PhasePeephole::do_transform
     0.35%  C2 CompilerThre  libjvm.so           [.] NodeHash::hash_find_insert
     0.35%  C2 CompilerThre  libpthread-2.31.so  [.] __pthread_mutex_unlock
     0.34%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Simplify
     0.34%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::split_if_with_blocks
