# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 44K of event 'LLC-load-misses'
# Event count (approx.): 27656189
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                                       
# ........  ...............  ..................  .............................................................................................................................................................................................................................
#
     5.55%  G1 Conc#0        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     5.36%  G1 Conc#1        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     2.77%  java             [JIT] tid 673230    [.] Interpreter
     2.53%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Split
     1.99%  GC Thread#2      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.97%  GC Thread#3      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.94%  GC Thread#1      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.94%  GC Thread#4      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.92%  GC Thread#7      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.85%  GC Thread#6      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.81%  GC Thread#5      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.77%  GC Thread#0      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     1.71%  C2 CompilerThre  libjvm.so           [.] IndexSetIterator::advance_and_next
     1.40%  java             [JIT] tid 673230    [.] void java.util.Spliterators$ArraySpliterator.forEachRemaining(java.util.function.Consumer)
     1.39%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     1.37%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     1.34%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::remove_node
     1.16%  C2 CompilerThre  libjvm.so           [.] PhaseLive::compute
     1.16%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::gather_lrg_masks
     1.06%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.93%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.86%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::interfere_with_live
     0.83%  java             [JIT] tid 673230    [.] java.io.ObjectOutput sun.rmi.transport.StreamRemoteCall.getOutputStream(boolean)
     0.71%  C2 CompilerThre  libjvm.so           [.] Compile::identify_useful_nodes
     0.68%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::effective_degree
     0.64%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::SquareUp
     0.59%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::merge_multidefs
     0.59%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::post_allocate_copy_removal
     0.53%  C2 CompilerThre  libjvm.so           [.] InstanceKlass::find_method_index
     0.53%  G1 Conc#1        libjvm.so           [.] G1CMTask::process_grey_task_entry<true>
     0.53%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::build_ifg_physical
     0.52%  java             [unknown]           [k] 0xffffffffafe9628e
     0.50%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::cache_lrg_info
     0.49%  G1 Conc#0        libjvm.so           [.] G1CMTask::drain_local_queue
     0.49%  G1 Conc#1        libjvm.so           [.] G1CMTask::drain_local_queue
     0.48%  G1 Conc#0        libjvm.so           [.] G1CMTask::process_grey_task_entry<true>
     0.47%  C2 CompilerThre  libjvm.so           [.] IndexSet::initialize
     0.43%  java             libc-2.31.so        [.] __memset_avx2_erms
     0.43%  C2 CompilerThre  libjvm.so           [.] IndexSet::alloc_block_containing
