# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'LLC-load-misses'
# Event count (approx.): 1982502
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                      
# ........  ...............  ..................  ............................................................................................................................................................
#
     3.01%  java             libjvm.so           [.] InstanceKlass::find_method_index
     1.99%  C2 CompilerThre  libjvm.so           [.] InstanceKlass::find_method_index
     1.97%  java             [JIT] tid 729483    [.] 0x00007f96d577e4a8
     1.73%  C1 CompilerThre  libjvm.so           [.] InstanceKlass::find_method_index
     1.38%  java             [unknown]           [k] 0xffffffffafe96097
     1.36%  C2 CompilerThre  libjvm.so           [.] IndexSet::initialize
     1.10%  C2 CompilerThre  libjvm.so           [.] Compile::identify_useful_nodes
     1.07%  java             [JIT] tid 729483    [.] 0x00007f96d577e517
     1.07%  java             [JIT] tid 729483    [.] 0x00007f96d578bd27
     0.97%  java             [unknown]           [k] 0xffffffffafe9628e
     0.95%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Split
     0.84%  java             libjvm.so           [.] SymbolTable::lookup_shared
     0.78%  C2 CompilerThre  libjvm.so           [.] Symbol::decrement_refcount
     0.74%  java             [JIT] tid 729483    [.] 0x00007f96d577e51e
     0.68%  java             libjvm.so           [.] SymbolTable::do_lookup
     0.67%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::gather_lrg_masks
     0.59%  C2 CompilerThre  libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.56%  java             [unknown]           [k] 0xffffffffafaacc12
     0.56%  C1 CompilerThre  [JIT] tid 729483    [.] 0x00007f96d577208b
     0.56%  java             [unknown]           [k] 0xffffffffb0384c21
     0.56%  java             [JIT] tid 729483    [.] 0x00007f96d577e51b
     0.55%  java             libjvm.so           [.] jni_DeleteLocalRef
     0.53%  java             [unknown]           [k] 0xffffffffafba45b2
     0.48%  java             [JIT] tid 729483    [.] 0x00007f96d577e4a0
     0.47%  C2 CompilerThre  [unknown]           [k] 0xffffffffafb263d9
     0.46%  java             [JIT] tid 729483    [.] 0x00007f96d578c68d
     0.45%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::SquareUp
     0.45%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::post_allocate_copy_removal
     0.44%  java             [JIT] tid 729483    [.] 0x00007f96d577e4a4
     0.44%  C1 CompilerThre  libjvm.so           [.] Klass::subklass
     0.43%  C1 CompilerThre  libjvm.so           [.] vmSymbols::find_sid
     0.43%  java             libjvm.so           [.] JVM_LatestUserDefinedLoader
     0.42%  java             [JIT] tid 729483    [.] 0x00007f96d578bd2b
     0.41%  java             [unknown]           [k] 0xffffffffafe993fb
     0.38%  GC Thread#2      [unknown]           [k] 0xffffffffaf84d389
     0.37%  GC Thread#3      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.36%  C2 CompilerThre  libjvm.so           [.] PhaseLive::compute
     0.35%  java             [JIT] tid 729483    [.] 0x00007f96d578bd32
     0.34%  C2 CompilerThre  libjvm.so           [.] SymbolTable::lookup_shared
     0.34%  java             [JIT] tid 729483    [.] 0x00007f96d578c691
     0.33%  java             [JIT] tid 729483    [.] 0x00007f96d578b7e4
     0.33%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::merge_multidefs
     0.32%  C1 CompilerThre  libjvm.so           [.] DependencyContext::add_dependent_nmethod
     0.31%  java             [JIT] tid 729483    [.] 0x00007f96d577e4f2
     0.30%  GC Thread#2      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.30%  java             libjvm.so           [.] AdapterHandlerLibrary::get_simple_adapter
     0.30%  java             [JIT] tid 729483    [.] 0x00007f96d578a3c1
     0.29%  java             libjvm.so           [.] ClassFileParser::parse_constant_pool_entries
     0.29%  java             [unknown]           [k] 0xffffffffc1422d25
     0.29%  java             libjvm.so           [.] java_lang_Throwable::fill_in_stack_trace
     0.28%  java             [unknown]           [k] 0xffffffffb036d9e0
     0.27%  java             [unknown]           [k] 0xffffffffafe32827
     0.27%  GC Thread#7      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.27%  java             [unknown]           [k] 0xffffffffb058c2fb
     0.27%  C2 CompilerThre  [unknown]           [k] 0xffffffffafabe53c
     0.27%  C2 CompilerThre  libjvm.so           [.] RegMask::is_misaligned_pair
     0.26%  C2 CompilerThre  libjvm.so           [.] Unique_Node_List::remove_useless_nodes
     0.26%  C2 CompilerThre  libjvm.so           [.] Compile::remove_useless_nodes
     0.25%  GC Thread#6      libjvm.so           [.] G1ParScanThreadState::trim_queue_to_threshold
     0.24%  java             libjvm.so           [.] ConstantPool::klass_at_impl
     0.24%  C2 CompilerThre  [unknown]           [k] 0xffffffffafb263f6
     0.24%  GC Thread#1      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.24%  C1 CompilerThre  libjvm.so           [.] NativeCall::destination
     0.24%  C1 CompilerThre  libjvm.so           [.] ciObjectFactory::get_metadata
     0.24%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::gather_lrg_masks
     0.23%  C2 CompilerThre  libjvm.so           [.] Matcher::find_shared
     0.23%  C2 CompilerThre  libjvm.so           [.] ciObjectFactory::get_metadata
     0.23%  C2 CompilerThre  libjvm.so           [.] PhaseIdealLoop::get_late_ctrl_with_anti_dep
     0.23%  java             [JIT] tid 729483    [.] 0x00007f96d577e4f7
     0.22%  C1 CompilerThre  [unknown]           [k] 0xffffffffaf84d389
     0.22%  GC Thread#5      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.22%  C2 CompilerThre  libjvm.so           [.] ciEnv::get_method_by_index_impl
     0.22%  C2 CompilerThre  libjvm.so           [.] Matcher::xform
     0.21%  C1 CompilerThre  libjvm.so           [.] Dictionary::find
     0.21%  C2 CompilerThre  libjvm.so           [.] NodeHash::hash_find_insert
     0.21%  C2 CompilerThre  libjvm.so           [.] ciObjectFactory::remove_symbols
     0.21%  java             [unknown]           [k] 0xffffffffb036d9f8
     0.21%  C2 CompilerThre  libjvm.so           [.] AbstractInterpreter::bytecode_should_reexecute
     0.20%  java             [JIT] tid 729483    [.] 0x00007f96d578f673
     0.20%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::schedule_pinned_nodes
     0.20%  C1 CompilerThre  libjvm.so           [.] SymbolTable::lookup_shared
     0.20%  C2 CompilerThre  [JIT] tid 729483    [.] 0x00007f96d577208b
     0.20%  java             libjvm.so           [.] Dictionary::find
     0.19%  java             [JIT] tid 729483    [.] 0x00007f96d578cd0e
