# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 39K of event 'cpu_core/LLC-load-misses/'
# Event count (approx.): 71595221
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                                       
# ........  ...............  ..................  .............................................................................................................................................................................................................................
#
    29.28%  java             [JIT] tid 682727    [.] void java.util.stream.AbstractPipeline.copyInto(java.util.stream.Sink, java.util.Spliterator)
     4.38%  java             [JIT] tid 682727    [.] java.util.stream.Sink java.util.stream.AbstractPipeline.wrapAndCopyInto(java.util.stream.Sink, java.util.Spliterator)
     3.54%  C2 CompilerThre  libjvm.so           [.] IndexSetIterator::advance_and_next
     3.03%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::remove_node
     2.51%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Split
     1.90%  G1 Conc#0        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     1.85%  C2 CompilerThre  libjvm.so           [.] PhaseLive::compute
     1.69%  G1 Conc#1        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     1.67%  G1 Conc#4        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     1.64%  java             [JIT] tid 682727    [.] java.io.ObjectOutput sun.rmi.transport.StreamRemoteCall.getOutputStream(boolean)
     1.61%  G1 Conc#3        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     1.60%  G1 Conc#2        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     1.51%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::effective_degree
     1.45%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::gather_lrg_masks
     1.19%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::interfere_with_live
     1.17%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::SquareUp
     1.05%  G1 Conc#0        libjvm.so           [.] G1RebuildRemSetClosure::do_oop_work<oopDesc*>
     0.96%  G1 Conc#3        libjvm.so           [.] G1RebuildRemSetClosure::do_oop_work<oopDesc*>
     0.95%  java             [JIT] tid 682727    [.] Interpreter
     0.86%  C2 CompilerThre  libjvm.so           [.] PhaseIFG::re_insert
     0.81%  C2 CompilerThre  libjvm.so           [.] PhaseConservativeCoalesce::update_ifg
     0.79%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::build_ifg_physical
     0.78%  G1 Conc#1        libjvm.so           [.] G1RebuildRemSetClosure::do_oop_work<oopDesc*>
     0.76%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::cache_lrg_info
     0.64%  G1 Conc#2        libjvm.so           [.] G1RebuildRemSetClosure::do_oop_work<oopDesc*>
     0.56%  G1 Conc#4        libjvm.so           [.] G1RebuildRemSetClosure::do_oop_work<oopDesc*>
     0.55%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Select
     0.55%  C2 CompilerThre  libjvm.so           [.] IndexSet::alloc_block_containing
     0.48%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::add_input_to_liveout
     0.44%  C2 CompilerThre  libjvm.so           [.] IndexSet::IndexSet
     0.43%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::merge_multidefs
     0.40%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::post_allocate_copy_removal
     0.39%  C2 CompilerThre  libjvm.so           [.] PhaseLive::add_liveout
     0.28%  java             libjvm.so           [.] JVM_LatestUserDefinedLoader
     0.28%  C2 CompilerThre  libjvm.so           [.] RegMask::is_UP
     0.28%  C2 CompilerThre  libjvm.so           [.] IndexSet::initialize
     0.27%  java             [unknown]           [k] 0xffffffff8729628e
     0.27%  C2 CompilerThre  libjvm.so           [.] PhaseCFG::is_uncommon
     0.27%  GC Thread#8      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.26%  GC Thread#9      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.25%  G1 Conc#0        libjvm.so           [.] OopOopIterateBoundedDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.25%  GC Thread#5      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.24%  C2 CompilerThre  libjvm.so           [.] PhaseOutput::BuildOopMaps
     0.23%  GC Thread#2      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.23%  GC Thread#16     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.22%  GC Thread#7      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.22%  G1 Conc#1        libjvm.so           [.] OopOopIterateBoundedDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.21%  GC Thread#1      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.21%  GC Thread#12     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.21%  GC Thread#15     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.20%  C1 CompilerThre  libjvm.so           [.] NullCheckEliminator::iterate_one
     0.20%  GC Thread#11     libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.20%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::fixup_spills
     0.20%  C2 CompilerThre  libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.19%  GC Thread#6      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.18%  G1 Conc#3        libjvm.so           [.] OopOopIterateBoundedDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.18%  GC Thread#4      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.18%  java             [JIT] tid 682727    [.] void java.util.Spliterators$ArraySpliterator.forEachRemaining(java.util.function.Consumer)
     0.17%  VM Thread        libjvm.so           [.] G1RegionMarkStatsCache::evict_all
