# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'LLC-load-misses'
# Event count (approx.): 438310649
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                                                                                                                                                                            
# ........  ...............  ..................  ..................................................................................................................................................................................................................................................................................................................................................................
#
    18.79%  G1 Conc#0        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
    18.78%  G1 Conc#1        libjvm.so           [.] OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     5.87%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     5.83%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     3.44%  java             libjvm.so           [.] JVM_LatestUserDefinedLoader
     0.85%  java             [JIT] tid 675631    [.] java.lang.Object java.rmi.server.RemoteObjectInvocationHandler.invoke(java.lang.Object, java.lang.reflect.Method, java.lang.Object[])
     0.84%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.84%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1RebuildRemSetClosure>::Table::oop_oop_iterate<InstanceKlass, oopDesc*>
     0.84%  GC Thread#4      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.82%  GC Thread#3      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.81%  GC Thread#6      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.81%  GC Thread#1      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.78%  GC Thread#2      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.77%  GC Thread#0      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.76%  GC Thread#5      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.73%  GC Thread#7      libc-2.31.so        [.] __memmove_sse2_unaligned_erms
     0.71%  java             [JIT] tid 675631    [.] void framework.pim.BatchDispatcher$DPUExecutionTask.run()
     0.65%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.63%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<ObjArrayKlass, oopDesc*>
     0.56%  java             [JIT] tid 675631    [.] java.io.ObjectOutput sun.rmi.transport.StreamRemoteCall.getOutputStream(boolean)
     0.52%  G1 Conc#1        libjvm.so           [.] G1RebuildRemSetTask::G1RebuildRemSetHeapRegionClosure::do_heap_region
     0.51%  G1 Conc#0        libjvm.so           [.] G1RebuildRemSetTask::G1RebuildRemSetHeapRegionClosure::do_heap_region
     0.42%  java             [JIT] tid 675631    [.] void framework.pim.logger.Logger.logln(java.lang.String)
     0.38%  java             [JIT] tid 675631    [.] java.io.ObjectStreamClass$FieldReflector java.io.ObjectStreamClass.getReflector(java.io.ObjectStreamField[], java.io.ObjectStreamClass)
     0.36%  java             [JIT] tid 675631    [.] framework.pim.dpu.cache.DPUMethodLookupTableItem simulator.DPULookupTableManagerSimulator.getMethodLookupTableItem(java.lang.String, java.lang.String)
     0.35%  G1 Refine#0      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.32%  java             libjvm.so           [.] Dictionary::find
     0.31%  java             libjvm.so           [.] StringTable::do_lookup
     0.30%  java             libjvm.so           [.] SymbolTable::lookup_shared
     0.29%  java             [JIT] tid 675631    [.] java.io.ObjectStreamClass java.io.ObjectStreamClass.lookup(java.lang.Class, boolean)
     0.29%  java             [JIT] tid 675631    [.] int sun.nio.ch.NioSocketImpl.tryRead(java.io.FileDescriptor, byte[], int, int)
     0.29%  java             [JIT] tid 675631    [.] Interpreter
     0.28%  java             [JIT] tid 675631    [.] void java.io.ObjectInputStream.<init>(java.io.InputStream)
     0.28%  java             [JIT] tid 675631    [.] void framework.pim.BatchDispatcher.dispatchAll()
     0.27%  java             libjvm.so           [.] CodeHeap::find_blob_unsafe
     0.26%  java             libjvm.so           [.] AccessInternal::PostRuntimeDispatch<G1BarrierSet::AccessBarrier<548932ul, G1BarrierSet>, (AccessInternal::BarrierType)2, 548932ul>::oop_access_barrier
     0.25%  java             [JIT] tid 675631    [.] void java.util.Spliterators$ArraySpliterator.forEachRemaining(java.util.function.Consumer)
     0.25%  java             [JIT] tid 675631    [.] java.lang.Object sun.rmi.server.UnicastRef.invoke(java.rmi.Remote, java.lang.reflect.Method, java.lang.Object[], long)
     0.24%  java             libjvm.so           [.] nmethod::is_zombie
     0.23%  G1 Conc#1        libjvm.so           [.] G1CMTask::process_grey_task_entry<true>
     0.23%  G1 Conc#0        libjvm.so           [.] G1CMTask::process_grey_task_entry<true>
     0.22%  G1 Conc#1        libjvm.so           [.] ClassLoaderData::oops_do
     0.21%  G1 Conc#0        libjvm.so           [.] ClassLoaderData::oops_do
     0.21%  G1 Conc#0        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceMirrorKlass, oopDesc*>
     0.21%  java             [JIT] tid 675631    [.] java.io.ObjectInput sun.rmi.transport.StreamRemoteCall.getInputStream()
     0.21%  G1 Conc#1        libjvm.so           [.] OopOopIterateDispatch<G1CMOopClosure>::Table::oop_oop_iterate<InstanceMirrorKlass, oopDesc*>
     0.21%  java             [JIT] tid 675631    [.] boolean application.transplant.pimtree.PIMTreeCore.load_one_batch(java.util.List, int)
     0.20%  C2 CompilerThre  libjvm.so           [.] PhaseChaitin::Split
     0.20%  java             [JIT] tid 675631    [.] void sun.rmi.transport.tcp.TCPChannel.free(sun.rmi.transport.Connection, boolean)
     0.19%  java             libjvm.so           [.] SymbolTable::do_lookup
     0.18%  G1 Refine#1      libjvm.so           [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.18%  java             [JIT] tid 675631    [.] java.io.ObjectStreamClass$ClassDataSlot[] java.io.ObjectStreamClass.getClassDataLayout0()
     0.17%  java             ld-2.31.so          [.] __tls_get_addr
